"Gene" "Weight_wo_mod" "M6ARatio" "M6AWeight" "Weight_w_M6A"
"ABHD17AP6" 335932.8 0 0 335932.8
"ABHD17AP7" 191442 0 0 191442
"ABHD17AP8" 184344.8 0 0 184344.8
"ABHD17AP9" 176400.6 0 0 176400.6
"ABHD17B" 983971 0.511434661 12.027 983983.027
"ABHD17C" 780687 0.437322001 12.027 780699.027
"ABHD18" 1844792.6 0 0 1844792.6
"ABHD2" 2702952.8 0.150801722 24.054 2702976.854
"ABHD3" 667114 0.107027283 12.027 667126.027
"ABHD4" 978122.2 0.190098194 12.027 978134.227
"ABHD5" 1702388.6 0.351625154 12.027 1702400.627
"ABHD6" 770834.6 0.467178552 24.054 770858.654
"ABHD8" 658068.4 0.414715614 36.081 658104.481
"ABI1" 1146291.2 0.142388348 12.027 1146303.227
"ABI1P1" 360500 0 0 360500
"ABI2" 7082077.8 0.213676257 0 7082077.8
"ABI3" 554026.6 0.520846859 0 554026.6
"ABI3BP" 2157100.4 0 0 2157100.4
"ABITRAM" 610744.2 0 0 610744.2
"ABITRAMP1" 174421.2 0 0 174421.2
"ABL1" 2163281.8 0.590483819 24.054 2163305.854
"ABL2" 3928232.4 0.400718753 48.108 3928280.508
"ABLIM1" 2427280 0.206417988 0 2427280
"ABLIM2" 1199923 0 0 1199923
"ABLIM3" 1468613.8 0.430853229 12.027 1468625.827
"ABO" 2038634.8 0 0 2038634.8
"ABR" 1943691.2 0 0 1943691.2
"ABR-AS1" 76428 0 0 76428
"ABRA" 887788.8 0 0 887788.8
"ABRACL" 251483.4 0.112677189 12.027 251495.427
"ABRAXAS1" 1351218 0 24.054 1351242.054
"ABRAXAS1P1" 387003.2 0 0 387003.2
"ABRAXAS1P2" 361224.8 0 0 361224.8
"ABRAXAS2" 948567 0 48.108 948615.108
"ABT1" 945853.6 0 24.054 945877.654
"ABT1P1" 265620.2 0 0 265620.2
"ABTB1" 1629872.2 0 0 1629872.2
"ABTB2" 1579373 0 0 1579373
"ABTB3" 1849513.2 0 0 1849513.2
"ACAA1" 1519091 0.29493229 12.027 1519103.027
"ACAA2" 938123.2 0.107687264 12.027 938135.227
"ACAA2P1" 316254.6 0 0 316254.6
"ACACA" 3223321.6 0 0 3223321.6
"ACACB" 3018185.6 0 0 3018185.6
"ACAD10" 1311162.2 0 0 1311162.2
"ACAD11" 1184194.8 0.270874988 0 1184194.8
"ACAD8" 1066509 0.387311987 12.027 1066521.027
"ACAD9" 1411515.6 0.383680689 24.054 1411539.654
"ACAD9-DT" 868704.8 0 0 868704.8
"ACADL" 1078637.2 0 0 1078637.2
"ACADM" 1959003.8 0.208404923 12.027 1959015.827
"ACADS" 600231.8 0.211440079 24.054 600255.854
"ACADSB" 1877766.6 0.483530224 0 1877766.6
"ACADVL" 760543.4 0.264403703 12.027 760555.427
"ACAN" 2888439 0 0 2888439
"ACAP1" 1573881.6 0 0 1573881.6
"ACAP2" 2275660.6 0.107033808 0 2275660.6
"ACAP2-IT1" 221190 0 0 221190
"ACAP3" 1715626.8 0.29865324 12.027 1715638.827
"ACAT1" 727706.6 0.093666096 0 727706.6
"ACAT2" 527037.2 0.086775854 12.027 527049.227
"ACBD3" 1153625.8 0.604706296 24.054 1153649.854
"ACBD3-AS1" 171489 0 0 171489
"ACBD4" 722038.2 0 0 722038.2
"ACBD5" 1369790.4 0.135462019 24.054 1369814.454
"ACBD6" 1691989.2 0 12.027 1692001.227
"ACBD7" 1082099 0.207397184 24.054 1082123.054
"ACCS" 1084588.6 0 0 1084588.6
"ACCSL" 584892 0 0 584892
"ACD" 818851.6 0.093819191 12.027 818863.627
"ACE" 1646737 0 0 1646737
"ACE2" 2435550.4 0 0 2435550.4
"ACE2-DT" 185779.8 0 0 185779.8
"ACE3P" 634810.6 0 0 634810.6
"ACER1" 457512.6 0 0 457512.6
"ACER2" 888007.6 0 0 888007.6
"ACER2P1" 263629.6 0 0 263629.6
"ACER3" 2348994.6 0.118707816 24.054 2349018.654
"ACHE" 948603.2 0.602351023 0 948603.2
"ACIN1" 1595771 0.525220764 12.027 1595783.027
"ACKR1" 608041.4 0 0 608041.4
"ACKR2" 955015 0 0 955015
"ACKR3" 645496 0.601304895 0 645496
"ACKR4" 739753 0 0 739753
"ACKR4P1" 337628.6 0 0 337628.6
"ACLY" 1390380.6 0 0 1390380.6
"ACMSD" 622922.2 0 0 622922.2
"ACNATP" 394895 0 0 394895
"ACO1" 2392460.6 0.051641806 24.054 2392484.654
"ACO2" 1280713.6 0.376445766 24.054 1280737.654
"ACOD1" 689313.4 0 0 689313.4
"ACOT1" 543540.2 0.44205236 0 543540.2
"ACOT11" 2052235.8 0 0 2052235.8
"ACOT12" 670993.2 0 0 670993.2
"ACOT13" 1413593.2 0.236316972 0 1413593.2
"ACOT2" 522487.4 0.357579809 0 522487.4
"ACOT4" 471381 0.350414863 12.027 471393.027
"ACOT6" 441334 0 0 441334
"ACOT7" 584662.6 0.051104486 12.027 584674.627
"ACOT8" 983356.8 0.068330052 0 983356.8
"ACOT9" 1390467.6 0.13767992 12.027 1390479.627
"ACOX1" 2348223.4 0.066877866 0 2348223.4
"ACOX1" 2348121.4 0.066877866 0 2348121.4
"ACOX2" 755848.6 0 0 755848.6
"ACOX3" 923315.4 0.280093418 12.027 923327.427
"ACOXL" 912256.6 0 0 912256.6
"ACOXL-AS1" 971102.2 0 0 971102.2
"ACP1" 474041.8 0.060443846 0 474041.8
"ACP1" 473839.8 0.060443846 0 473839.8
"ACP2" 707463 0.659825906 24.054 707487.054
"ACP3" 1021010.8 0 0 1021010.8
"ACP4" 431722.4 0 0 431722.4
"ACP5" 1065269.8 0 0 1065269.8
"ACP6" 2224487.2 0 0 2224487.2
"ACP7" 934824.6 0 0 934824.6
"ACR" 458893 0 0 458893
"ACRBP" 611994 0 0 611994
"ACRP1" 222758.6 0 0 222758.6
"ACRV1" 619880.2 0 0 619880.2
"ACSBG1" 1999394 0 0 1999394
"ACSBG2" 889495.8 0 0 889495.8
"ACSF2" 726518.2 0.262322063 12.027 726530.227
"ACSF3" 2255917 0.537675947 12.027 2255929.027
"ACSL1" 1270839.6 0.269525523 0 1270839.6
"ACSL3" 2708638.2 0.201103216 12.027 2708650.227
"ACSL3-AS1" 172992.4 0 0 172992.4
"ACSL3P1" 617377.4 0 0 617377.4
"ACSL4" 2317355.6 0.097595022 12.027 2317367.627
"ACSL5" 1089763.8 0 0 1089763.8
"ACSL6" 2887332 0 0 2887332
"ACSL6-AS1" 296664.6 0 0 296664.6
"ACSM1" 670799.2 0 0 670799.2
"ACSM2A" 936558.8 0 0 936558.8
"ACSM2B" 950029 0 0 950029
"ACSM3" 1063280.2 0 0 1063280.2
"ACSM4" 756682.8 0 0 756682.8
"ACSM5" 901976.2 0 0 901976.2
"ACSM5P1" 785796.6 0 0 785796.6
"ACSM6" 738126.4 0 0 738126.4
"ACSS1" 1534826.4 0 0 1534826.4
"ACSS2" 941875 0.180164339 24.054 941899.054
"ACSS3" 2693451.2 0.033936892 0 2693451.2
"ACTA1" 718057.2 0 0 718057.2
"ACTA2" 433382.8 0 0 433382.8
"ACTA2-AS1" 790310 0 0 790310
"ACTB" 821388.8 0.333340065 24.054 821412.854
"ACTBL2" 894923.8 0 0 894923.8
"ACTBP1" 357146.6 0 0 357146.6
"ACTBP11" 362022.2 0 0 362022.2
"ACTBP12" 134396.6 0 0 134396.6
"ACTBP14" 350153.8 0 0 350153.8
"ACTBP15" 340684 0 0 340684
"ACTBP16" 342983.8 0 0 342983.8
"ACTBP2" 360841.6 0 0 360841.6
"ACTBP4" 344043 0 0 344043
"ACTBP6" 349163 0 0 349163
"ACTBP7" 361246.8 0 0 361246.8
"ACTBP8" 356197.6 0 0 356197.6
"ACTBP9" 353337.8 0 0 353337.8
"ACTC1" 452068 0 0 452068
"ACTE1P" 697463.4 0 0 697463.4
"ACTG1" 801839.2 0.058271817 0 801839.2
"ACTG1P1" 363128.8 0 0 363128.8
"ACTG1P10" 347587.4 0 0 347587.4
"ACTG1P11" 361906 0 0 361906
"ACTG1P12" 374893.2 0 0 374893.2
"ACTG1P13" 334721.6 0 0 334721.6
"ACTG1P14" 360621.4 0 0 360621.4
"ACTG1P15" 340748.6 0 0 340748.6
"ACTG1P16" 348102.4 0 0 348102.4
"ACTG1P17" 535150.4 0 0 535150.4
"ACTG1P18" 367119.6 0 0 367119.6
"ACTG1P19" 358678.2 0 0 358678.2
"ACTG1P2" 361906 0 0 361906
"ACTG1P20" 150468.6 0 0 150468.6
"ACTG1P21" 321275 0 0 321275
"ACTG1P22" 920427.8 0 0 920427.8
"ACTG1P23" 344814.8 0 0 344814.8
"ACTG1P24" 281795.4 0 0 281795.4
"ACTG1P25" 743666.2 0 0 743666.2
"ACTG1P3" 358473.8 0 0 358473.8
"ACTG1P4" 360741.4 0 0 360741.4
"ACTG1P9" 854080.6 0 0 854080.6
"ACTG2" 662799.8 0 0 662799.8
"ACTL10" 512082.6 0 0 512082.6
"ACTL11P" 1270553.8 0 0 1270553.8
"ACTL6A" 611127.8 0.059584683 12.027 611139.827
"ACTL6B" 491367.8 0 0 491367.8
"ACTL7A" 480731.2 0 0 480731.2
"ACTL7B" 451479.8 0 0 451479.8
"ACTL8" 592917.2 0 0 592917.2
"ACTL9" 449136.2 0 0 449136.2
"ACTMAP" 1056105.4 0 0 1056105.4
"ACTN1" 1750421.2 0.369412927 24.054 1750445.254
"ACTN1-DT" 192346.8 0 0 192346.8
"ACTN2" 3305050.4 0 0 3305050.4
"ACTN3" 996364.8 0 0 996364.8
"ACTN4" 1609685 0 0 1609685
"ACTN4P1" 467970.2 0 0 467970.2
"ACTN4P2" 610265.4 0 0 610265.4
"ACTP1" 123344.6 0 0 123344.6
"ACTR10" 771904.6 0.108852843 24.054 771928.654
"ACTR1A" 1130715.8 0.32821492 36.081 1130751.881
"ACTR1AP1" 361520.2 0 0 361520.2
"ACTR1B" 710621.8 0.104130375 0 710621.8
"ACTR2" 1215172.6 0.204795016 36.081 1215208.681
"ACTR3" 2111794.8 0.093484961 24.054 2111818.854
"ACTR3-AS1" 292962 0 0 292962
"ACTR3B" 1774594.6 0 0 1774594.6
"ACTR3BP1" 401556.4 0 0 401556.4
"ACTR3BP2" 441742.6 0 0 441742.6
"ACTR3BP3" 315152.8 0 0 315152.8
"ACTR3BP4" 400689.8 0 0 400689.8
"ACTR3BP5" 475772.8 0 0 475772.8
"ACTR3BP6" 429625.6 0 0 429625.6
"ACTR3BP7" 399797.2 0 0 399797.2
"ACTR3C" 1826884.4 0 0 1826884.4
"ACTR3P2" 404831.4 0 0 404831.4
"ACTR3P3" 287895.6 0 0 287895.6
"ACTR5" 821613.4 0.444511059 12.027 821625.427
"ACTR6" 657153 0.075551894 12.027 657165.027
"ACTR6P1" 354155.8 0 0 354155.8
"ACTR8" 1152896.8 0.382216341 24.054 1152920.854
"ACTRT1" 464605.4 0 0 464605.4
"ACTRT1P1" 361190.6 0 0 361190.6
"ACTRT2" 463945.4 0 0 463945.4
"ACTRT3" 538909.2 0 0 538909.2
"ACVR1" 1419549 0.446155832 12.027 1419561.027
"ACVR1B" 1456493.2 0.469611128 36.081 1456529.281
"ACVR1C" 2836377.6 0 0 2836377.6
"ACVR2A" 1672170.8 0.54329917 24.054 1672194.854
"ACVR2B" 3784436.4 0.204700061 12.027 3784448.427
"ACVR2B-AS1" 805773.4 0 0 805773.4
"ACVRL1" 1345935.4 0 0 1345935.4
"ACY1" 598049.4 0.082728782 12.027 598061.427
"ACY3" 440091.2 0 0 440091.2
"ACYP1" 254534.8 0.545018462 0 254534.8
"ACYP2" 613199.6 0.125760835 0 613199.6
"ADA" 1921086 0.098863451 12.027 1921098.027
"ADA2" 1714450.6 0 0 1714450.6
"ADAD1" 631039.6 0 0 631039.6
"ADAD1P1" 623571.2 0 0 623571.2
"ADAD1P2" 207612.2 0 0 207612.2
"ADAD2" 825181.6 0 0 825181.6
"ADAL" 1372604.6 0.21235424 0 1372604.6
"ADAM10" 3581042.6 0.369824202 24.054 3581066.654
"ADAM11" 1487031.8 0.506957259 12.027 1487043.827
"ADAM12" 2550356.2 0.173944546 24.054 2550380.254
"ADAM15" 1456026.6 0.120433071 12.027 1456038.627
"ADAM17" 2105169.6 0.507370799 24.054 2105193.654
"ADAM18" 770594 0 0 770594
"ADAM19" 2082582.2 0.129358025 0 2082582.2
"ADAM1A" 685691.8 0 0 685691.8
"ADAM1B" 644099 0 0 644099
"ADAM2" 839475 0 0 839475
"ADAM20" 897397.2 0 0 897397.2
"ADAM20P1" 748712.2 0 0 748712.2
"ADAM20P1" 973745.8 0 0 973745.8
"ADAM20P2" 409695.6 0 0 409695.6
"ADAM20P3" 678666.2 0 0 678666.2
"ADAM21" 1015036.2 0 0 1015036.2
"ADAM21P1" 697934 0 0 697934
"ADAM22" 3053198.6 0 0 3053198.6
"ADAM23" 2033058.8 0.552461069 12.027 2033070.827
"ADAM24P" 676385.2 0 0 676385.2
"ADAM28" 2269983.4 0 0 2269983.4
"ADAM29" 1087868.2 0 0 1087868.2
"ADAM30" 959748.6 0 0 959748.6
"ADAM32" 2197296.2 0 0 2197296.2
"ADAM33" 1185328.8 0 0 1185328.8
"ADAM3A" 843961.4 0 0 843961.4
"ADAM3B" 270427 0 0 270427
"ADAM5" 641684.6 0 0 641684.6
"ADAM6" 321651.8 0 0 321651.8
"ADAM6" 593195.6 0 0 593195.6
"ADAM7" 1082980.4 0 0 1082980.4
"ADAM7-AS1" 238559.2 0 0 238559.2
"ADAM7-AS2" 289167.4 0 0 289167.4
"ADAM8" 1050113.8 0 0 1050113.8
"ADAM9" 2271156.8 0.148024604 0 2271156.8
"ADAMDEC1" 753342.6 0 0 753342.6
"ADAMTS1" 1872620.8 0 0 1872620.8
"ADAMTS10" 1371505.2 0 0 1371505.2
"ADAMTS12" 2757148.4 0.444984407 36.081 2757184.481
"ADAMTS13" 1591920.8 0 0 1591920.8
"ADAMTS14" 1791888.4 0 0 1791888.4
"ADAMTS15" 1936621.2 0.85563462 48.108 1936669.308
"ADAMTS16" 1603358.8 0 0 1603358.8
"ADAMTS16-DT" 1882595.8 0 0 1882595.8
"ADAMTS17" 2037221.8 0 0 2037221.8
"ADAMTS18" 1877202.6 0 0 1877202.6
"ADAMTS19" 1675558.2 0 0 1675558.2
"ADAMTS19-AS1" 997163.6 0 0 997163.6
"ADAMTS2" 2184005.6 0.475725892 0 2184005.6
"ADAMTS20" 2048020.6 0 0 2048020.6
"ADAMTS3" 2007095.8 0.650749528 24.054 2007119.854
"ADAMTS4" 3147742.4 0 0 3147742.4
"ADAMTS5" 3085443.2 0 0 3085443.2
"ADAMTS6" 2348782.8 0.310163264 0 2348782.8
"ADAMTS7" 1777529 0 0 1777529
"ADAMTS7P1" 1542172.6 0 0 1542172.6
"ADAMTS7P3" 1196314.2 0 0 1196314.2
"ADAMTS7P4" 1161835.2 0 0 1161835.2
"ADAMTS8" 1172419.6 0 0 1172419.6
"ADAMTS9" 2457117.8 0 0 2457117.8
"ADAMTS9-AS1" 1283067.6 0 0 1283067.6
"ADAMTS9-AS2" 1183016.2 0 0 1183016.2
"ADAMTSL1" 2502025.2 0.221110267 0 2502025.2
"ADAMTSL2" 1379157 0 0 1379157
"ADAMTSL3" 2351405.8 0 0 2351405.8
"ADAMTSL4" 1388330.8 0 0 1388330.8
"ADAMTSL4-AS1" 616093.8 0 0 616093.8
"ADAMTSL4-AS2" 214424 0 0 214424
"ADAMTSL5" 859355.6 0.509199685 24.054 859379.654
"ADAP1" 762133 0.263658495 12.027 762145.027
"ADAP2" 860592.8 0 0 860592.8
"ADAR" 2337749.4 0.45506246 24.054 2337773.454
"ADAR" 2337749.4 0.45506246 24.054 2337773.454
"ADARB1" 2224125.4 0.617671526 36.081 2224161.481
"ADARB2" 2730051 0 0 2730051
"ADARB2-AS1" 203658.4 0 0 203658.4
"ADAT1" 1851116.4 0.566679393 24.054 1851140.454
"ADAT2" 2131086.2 0.323407128 0 2131086.2
"ADAT3" 514311.8 0.816572023 0 514311.8
"ADCK1" 1142843 0.163220056 12.027 1142855.027
"ADCK2" 829291.8 0.478264345 12.027 829303.827
"ADCK5" 654990.4 0 0 654990.4
"ADCY1" 4074540.4 0 0 4074540.4
"ADCY10" 1715595.4 0 0 1715595.4
"ADCY10P1" 1237298.6 0 0 1237298.6
"ADCY10P1" 1468456.8 0 0 1468456.8
"ADCY2" 3184818.6 0 0 3184818.6
"ADCY3" 1627286 0.279688817 0 1627286
"ADCY4" 1695252.2 0 0 1695252.2
"ADCY5" 2139173.6 0 0 2139173.6
"ADCY6" 2079723.8 0.402651441 12.027 2079735.827
"ADCY6-DT" 151836.6 0 0 151836.6
"ADCY7" 2018801.2 0.617348622 48.108 2018849.308
"ADCY8" 1422223.2 0 0 1422223.2
"ADCY9" 2567923 0.639426861 36.081 2567959.081
"ADCYAP1" 1073879.2 0 0 1073879.2
"ADCYAP1R1" 2160149.6 0 0 2160149.6
"ADD1" 1668719.8 0.319089765 12.027 1668731.827
"ADD2" 2988773 0 0 2988773
"ADD3" 1418205.6 0.207607107 24.054 1418229.654
"ADD3-AS1" 2029998.2 0 0 2029998.2
"ADGB" 2179645.8 0 0 2179645.8
"ADGB-DT" 702286 0 0 702286
"ADGRA1" 1369699.8 0 0 1369699.8
"ADGRA1-AS1" 1061005 0 0 1061005
"ADGRA2" 2235850.8 0 60.135 2235910.935
"ADGRA3" 1472598.4 0 48.108 1472646.508
"ADGRA3P1" 1081071 0 0 1081071
"ADGRB1" 2010340.4 0 24.054 2010364.454
"ADGRB2" 1838198.6 0 36.081 1838234.681
"ADGRB3" 2295595.4 0 0 2295595.4
"ADGRB3-DT" 1748644.6 0 0 1748644.6
"ADGRD1" 2274433 0 36.081 2274469.081
"ADGRD1-AS1" 411607.4 0 0 411607.4
"ADGRD2" 1130428 0 0 1130428
"ADGRE1" 998901.4 0 0 998901.4
"ADGRE2" 2177803.2 0 0 2177803.2
"ADGRE3" 753083.8 0 0 753083.8
"ADGRE4P" 581357 0 0 581357
"ADGRE5" 1025092 0 12.027 1025104.027
"ADGRF1" 2926222 0 0 2926222
"ADGRF2P" 808783.2 0 0 808783.2
"ADGRF3" 1439232.2 0 0 1439232.2
"ADGRF4" 1005285.6 0 0 1005285.6
"ADGRF5" 1850418.2 0 0 1850418.2
"ADGRF5-AS1" 253354.2 0 0 253354.2
"ADGRF5P1" 363540 0 0 363540
"ADGRF5P2" 530881.8 0 0 530881.8
"ADGRG1" 1365941.4 0 48.108 1365989.508
"ADGRG2" 1853542.6 0 0 1853542.6
"ADGRG3" 837526.8 0 0 837526.8
"ADGRG4" 3174719.6 0 0 3174719.6
"ADGRG5" 1529376.6 0 0 1529376.6
"ADGRG6" 2252654.2 0 12.027 2252666.227
"ADGRG7" 1003448.6 0 0 1003448.6
"ADGRL1" 2526072.6 0 84.189 2526156.789
"ADGRL1-AS1" 936409.8 0 0 936409.8
"ADGRL2" 2804622.8 0 60.135 2804682.935
"ADGRL3" 4405588.6 0 0 4405588.6
"ADGRL3-AS1" 195131.2 0 0 195131.2
"ADGRL4" 1176610.4 0 0 1176610.4
"ADGRV1" 6290611.4 0 0 6290611.4
"ADH1A" 468422.8 0 0 468422.8
"ADH1B" 1720299.6 0 0 1720299.6
"ADH1C" 468559.8 0 0 468559.8
"ADH4" 692672.2 0 0 692672.2
"ADH5" 850866.4 0.179810726 12.027 850878.427
"ADH5P2" 362850.8 0 0 362850.8
"ADH5P3" 367384.4 0 0 367384.4
"ADH5P4" 358707 0 0 358707
"ADH5P5" 113636.4 0 0 113636.4
"ADH6" 1068335.4 0 0 1068335.4
"ADH7" 736150.8 0 0 736150.8
"ADHFE1" 715028.8 0 0 715028.8
"ADI1" 1243222 0.105230914 0 1243222
"ADI1P1" 173979.6 0 0 173979.6
"ADI1P2" 138920.8 0 0 138920.8
"ADI1P3" 151352 0 0 151352
"ADIG" 249336.4 0 0 249336.4
"ADIPOQ" 1470975.8 0 0 1470975.8
"ADIPOQ-AS1" 1104366.6 0 0 1104366.6
"ADIPOR1" 675343.8 0.095622021 24.054 675367.854
"ADIPOR1P1" 344711.8 0 0 344711.8
"ADIPOR1P2" 370449.8 0 0 370449.8
"ADIPOR2" 1276305.2 0 0 1276305.2
"ADIRF" 225057 0 0 225057
"ADIRF-AS1" 1233046.4 0 0 1233046.4
"ADISSP" 558592.8 0 0 558592.8
"ADK" 1033245.4 0.132069277 12.027 1033257.427
"ADM" 608920.8 0.487638646 12.027 608932.827
"ADM-DT" 258144.6 0 0 258144.6
"ADM2" 1376441.2 0.602692639 0 1376441.2
"ADM5" 253484.6 0.255313124 0 253484.6
"ADNP" 2363276 0.717882708 48.108 2363324.108
"ADNP-AS1" 329448.6 0 0 329448.6
"ADNP2" 1656051.4 0.712310998 36.081 1656087.481
"ADO" 1208389 0.432581018 48.108 1208437.108
"ADORA1" 1100126.4 0.634944168 12.027 1100138.427
"ADORA2A" 881530.2 0 0 881530.2
"ADORA2A-AS1" 823448.4 0 0 823448.4
"ADORA2B" 603430 0.919459721 12.027 603442.027
"ADORA2BP1" 270148.4 0 0 270148.4
"ADORA3" 562531.4 0 0 562531.4
"ADPGK" 1469580.2 0.655456513 24.054 1469604.254
"ADPGK-AS1" 879063 0 0 879063
"ADPRH" 1460680.2 0 0 1460680.2
"ADPRHL1" 3145071.4 0.395726366 0 3145071.4
"ADPRM" 492563.8 0.306534238 0 492563.8
