"Gene" "Length" "MW" "Scof_St" "Scof_Unst" "Cromo"
"ACL4" 1164 372500.8 8.22547036754439e-10 2.80397141253998e-10 "IV"
"ACM1" 630 200982 7.04525712867157e-10 2.79593937244971e-10 "XVI"
"ACO1" 2337 752280.4 1.11566552585066e-09 4.32753660644321e-10 "XII"
"ACO2" 2370 761041 1.21631959818226e-09 4.50409708365952e-10 "X"
"ACP1" 378 121324.6 7.13633966853899e-10 1.97809033455216e-10 "XI"
"ACS1" 2142 689279.4 1.20386695231346e-09 3.18472432280869e-10 "I"
"ACS2" 2052 660674.4 1.03673475367076e-09 3.34234753964304e-10 "XII"
"ACT1" 1128 461592.4 7.97645819241495e-10 2.2255389734564e-10 "VI"
"ADA2" 1305 417576 1.17181228386484e-09 4.55566448239348e-10 "IV"
"ADD37" 597 191404.4 7.0716500208186e-10 2.34536404752512e-10 "XIII"
"ADD66" 804 258427.8 8.03696897449685e-10 2.77518228771994e-10 "XI"
"ADE1" 921 295276.2 7.38881083559746e-10 2.48513080987636e-10 "I"
"ADE12" 1302 418254.4 9.09956192252943e-10 2.42303179816034e-10 "XIV"
"ADE13" 1449 466477.8 9.71414965382865e-10 2.67858981265177e-10 "XII"
"ADE16" 1776 570474.2 1.11760251360581e-09 3.75664919943195e-10 "XII"
"ADE17" 1779 572823.8 9.19202446662252e-10 3.16898568096525e-10 "XIII"
"ADE2" 1716 551503.2 9.71562653879066e-10 3.54395406317169e-10 "XV"
"ADE3" 2841 912313.2 1.0709545230692e-09 4.45954360582028e-10 "VII"
"ADE4" 1533 492906.6 9.1599884101893e-10 3.411710922393e-10 "XIII"
"ADE6" 4077 1305271.4 1.32350075163358e-09 5.38360638292612e-10 "VII"
"ADE8" 645 207221 8.2066954190109e-10 2.52951687463188e-10 "IV"
"ADF1" 342 110221.4 9.52638157071135e-10 2.12802205403024e-10 "III"
"ADH1" 1047 336350.4 5.66424471094011e-10 1.78312033067064e-10 "XV"
"ADH2" 1047 336373.4 6.81081345539779e-10 4.57159651240121e-10 "XIII"
"ADH3" 1128 362668.6 7.93714776739568e-10 2.05600175864962e-10 "XIII"
"ADH4" 1149 370168.8 1.31513118153584e-09 4.24344729831034e-10 "VII"
"ADH5" 1056 338527.2 8.81588430003329e-10 2.88847984796545e-10 "II"
"ADH6" 1083 348217.6 8.32354465837765e-10 3.09020938371276e-10 "XIII"
"ADH7" 1086 348868.2 7.73105358915248e-10 1.68330828209337e-10 "III"
"ADI1" 540 173107 1.21875613390767e-09 3.29539154629955e-10 "XIII"
"ADK1" 669 214805.8 5.93111571777519e-10 2.31866336620882e-10 "IV"
"ADK2" 678 217663.6 8.52595268190388e-10 2.90598881319885e-10 "V"
"ADO1" 1023 328840.6 7.63694128817256e-10 2.42010485650255e-10 "X"
"ADP1" 3150 1013429 1.13442360432187e-09 8.57753179775886e-10 "III"
"ADR1" 3972 1271212.4 1.42398681658093e-09 8.73552671299599e-10 "IV"
"ADY2" 852 272341.4 7.05985644648053e-10 2.15854961063785e-10 "III"
"ADY3" 2373 759643.6 1.49114880841521e-09 1.04523710056007e-09 "IV"
"ADY4" 1482 476900.4 1.339546896833e-09 5.9571752950279e-10 "XII"
"AEP1" 1557 499860.4 1.38135455243792e-09 9.3550309339161e-10 "XIII"
"AEP2" 1743 559988.6 1.27657058912744e-09 5.71264241959529e-10 "XIII"
"AEP3" 1821 584488.2 1.29716737944541e-09 6.87641463832537e-10 "XVI"
"AFB1" 675 218723 7.26392490773416e-10 4.11481567895604e-10 "XII"
"AFG1" 1530 492427 1.01552693389089e-09 4.22815299778253e-10 "V"
"AFG2" 2343 752774.6 1.18837105693439e-09 5.94741525244346e-10 "XII"
"AFG3" 2286 734039.2 1.21608575869918e-09 6.58360845014547e-10 "V"
"AFI1" 2682 863148.4 1.3579931968785e-09 7.08916547693228e-10 "XV"
"AFR1" 1863 596520.6 1.34434406871964e-09 6.54930599675298e-10 "IV"
"AFT1" 2073 662886.6 1.33877192384569e-09 7.09158381067457e-10 "VII"
"AFT2" 1251 400919.2 1.16672121850485e-09 5.36789821997152e-10 "XVI"
"AGA1" 2178 697414.6 9.00908220168339e-10 6.97088339396221e-10 "XIV"
"AGA2" 264 84956.8 7.05744654484029e-10 2.26492403339013e-10 "VII"
"AGC1" 2709 871955.8 1.39954371165501e-09 7.48689915592804e-10 "XVI"
"AGE1" 1449 466269.8 1.31845788400993e-09 5.18263676323666e-10 "IV"
"AGE2" 897 288153.4 8.35816685064609e-10 2.56214659063328e-10 "IX"
"AGP1" 1902 609388.4 8.91728276647325e-10 5.41330121185777e-10 "III"
"AGP2" 1791 574473.2 1.11902117030669e-09 5.79249789644504e-10 "II"
"AGP3" 1677 536973.4 1.30271029566246e-09 6.85540964267713e-10 "VI"
"AGX1" 1158 371798.6 1.04454951055842e-09 4.19388696595081e-10 "VI"
"AHA1" 1053 337913.6 8.0664010527728e-10 3.5512105540051e-10 "IV"
"AHC1" 1701 544135.2 1.23379227569687e-09 5.41895007400825e-10 "XV"
"AHC2" 387 123671.4 1.09710067209348e-09 3.62920446720167e-10 "III"
"AHK1" 2955 949502 1.38879775565508e-09 7.34126700460254e-10 "IV"
"AHP1" 531 171063.2 5.17807973342434e-10 1.91470234928553e-10 "XII"
"AHT1" 549 176598.8 1.66666666666667e-09 1.23012053931485e-09 "VIII"
"AI1" 2505 805659 1.59088952243983e-09 1.55347053106429e-09 "Mito"
"AI2" 2565 1592698.6 1.5895273566884e-09 1.49296804492772e-09 "Mito"
"AI3" 1248 1963139.8 1.63760110985258e-09 1.83018130600973e-09 "Mito"
"AI4" 1671 2637659.6 1.64431666148481e-09 1.6408173717097e-09 "Mito"
"AI5_ALPHA" 1893 3037678 1.61159359875346e-09 1.72349687137327e-09 "Mito"
"AI5_BETA" 1065 357111 1.655920074801e-09 1.68238445648032e-09 "Mito"
"AIF1" 1137 365197.4 1.17233748124141e-09 3.08736545514235e-10 "XIV"
"AIM10" 1731 554707.2 1.18603922243359e-09 5.14061512173616e-10 "V"
"AIM11" 414 156799.8 9.43337644609273e-10 2.81603721854598e-10 "V"
"AIM14" 1713 552418.6 9.10848105813681e-10 5.98038286495323e-10 "VII"
"AIM17" 1398 449363.6 8.91855213339977e-10 2.83619982507236e-10 "VIII"
"AIM18" 966 310707.2 1.01938213161876e-09 3.10579445988432e-10 "VIII"
"AIM19" 474 153127.8 8.09923852934432e-10 2.25538023881112e-10 "IX"
"AIM2" 741 238545.2 7.78824134319202e-10 3.3559272829505e-10 "I"
"AIM20" 615 196684 1.03417170128667e-09 3.83426439098736e-10 "IX"
"AIM21" 2040 651906 9.50482743733084e-10 5.66722055085044e-10 "IX"
"AIM22" 1230 394800 1.15786739109319e-09 4.7550519379988e-10 "X"
"AIM23" 1071 341820.2 1.12175706447116e-09 4.53200490212418e-10 "X"
"AIM24" 1185 380846 1.01439424008302e-09 3.22127503244759e-10 "X"
"AIM25" 984 316447.8 1.05490836335855e-09 3.75989246966728e-10 "X"
"AIM26" 357 114102.4 1.62405424390513e-09 5.77044709438134e-10 "XI"
"AIM29" 468 149343.6 7.23273809715943e-10 1.79697677589392e-10 "XI"
"AIM3" 2844 912225.8 1.12543284481972e-09 7.34438014059885e-10 "II"
"AIM32" 936 301218.2 1.11421409788549e-09 3.62755123068373e-10 "XIII"
"AIM33" 939 302047.8 1.11245918798222e-09 5.9861035129694e-10 "XIII"
"AIM34" 597 191681.4 9.31962828437385e-10 2.68260081440556e-10 "XIII"
"AIM36" 768 246675.6 9.47501036865672e-10 3.30730650263428e-10 "XIII"
"AIM39" 1188 379912.6 1.14407843407075e-09 4.2127506077833e-10 "XV"
"AIM4" 372 120386.4 1.01731851487259e-09 3.11669091827515e-10 "II"
"AIM41" 558 181862.6 8.5801290104327e-10 3.16656849493717e-10 "XV"
"AIM44" 2277 728777.4 1.24727975296733e-09 7.07667500491347e-10 "XVI"
"AIM45" 1035 333425 9.19529357308282e-10 2.84335123916669e-10 "XVI"
"AIM46" 933 299705.6 1.06785747017874e-09 4.02051834021859e-10 "VIII"
"AIM6" 1173 377612.6 6.62797520117844e-10 4.06191066269174e-10 "IV"
"AIM7" 450 143380 7.94051425587191e-10 3.24318924863326e-10 "IV"
"AIM9" 1884 604057.8 1.13732899463790e-09 4.95504577716118e-10 "V"
"AIP1" 1848 594662.6 9.24380085150296e-10 2.97484729712087e-10 "XIII"
"AIR1" 1083 346493.6 1.00141761695445e-09 4.13412507857697e-10 "IX"
"AIR2" 1035 331833 9.46046827633971e-10 4.64922988971594e-10 "IV"
"AKL1" 3327 1070988.4 1.37485708153345e-09 7.22687954548251e-10 "II"
"AKR1" 2295 739015 1.26323796924574e-09 7.09590199365729e-10 "IV"
"AKR2" 2250 724134 1.30139511605567e-09 7.5249350890679e-10 "XV"
"ALA1" 2877 925365.4 1.08507572046542e-09 3.62725606427699e-10 "XV"
"ALB1" 528 168790.6 7.37701832980447e-10 2.74595693923598e-10 "X"
"ALD2" 1521 489680.2 9.57321714766912e-10 3.64616988072326e-10 "XIII"
"ALD3" 1521 489363.2 9.21077050435367e-10 5.24560770449438e-10 "XIII"
"ALD4" 1560 501675 1.01851798613463e-09 2.85683006872514e-10 "XV"
"ALD5" 1563 502666.6 1.19833858005539e-09 4.21802650743961e-10 "V"
"ALD6" 1503 483283.6 8.64782366836851e-10 2.6281681957378e-10 "XVI"
"ALE1" 1860 599327 7.61208401897727e-10 5.65384749893486e-10 "XV"
"ALF1" 765 246372 1.120337968084e-09 3.66704899186362e-10 "XIV"
"ALG1" 1350 435053 9.26961470818177e-10 5.42466275943493e-10 "II"
"ALG11" 1647 530321.4 1.01147475557673e-09 6.44371210562564e-10 "XIV"
"ALG12" 1656 531853.2 7.0258977120197e-10 4.68421883529482e-10 "XIV"
"ALG13" 609 195867.8 8.04804689399111e-10 2.30887996659414e-10 "VII"
"ALG14" 714 229553.8 9.11099474526927e-10 2.67701502280253e-10 "II"
"ALG2" 1512 487485.4 9.73766010386083e-10 3.9920511523315e-10 "VII"
"ALG3" 1377 441862.4 8.70271604670942e-10 4.50458678479478e-10 "II"
"ALG5" 1005 323078 1.02856432586118e-09 5.48026454296751e-10 "XVI"
"ALG6" 1635 524369 1.04525642439336e-09 4.93086750091717e-10 "XV"
"ALG7" 1347 431616.4 7.49052972087221e-10 3.9765710009208e-10 "II"
"ALG8" 1734 556534.8 7.5783149201062e-10 4.78673179757328e-10 "XV"
"ALG9" 1668 536000.6 7.06880727540577e-10 4.73612664030446e-10 "XIV"
"ALK1" 2283 734002.6 1.32614509420769e-09 7.65475741310902e-10 "VII"
"ALK2" 2031 652805.2 1.19962103217223e-09 5.32362583240525e-10 "II"
"ALO1" 1581 508614.2 8.80185401418275e-10 3.38208423012664e-10 "XIII"
"ALP1" 1722 551587.4 1.07534508465765e-09 4.95537173430694e-10 "XIV"
"ALR1" 2580 828749 1.32782543076321e-09 8.17484292994167e-10 "XV"
"ALR2" 2577 827055.4 1.48314599894106e-09 1.02935266259228e-09 "VI"
"ALT1" 1779 572609.8 1.2000034200628e-09 4.32942269981194e-10 "XII"
"ALT2" 1524 489998.8 1.17920478395344e-09 4.56546888467999e-10 "IV"
"ALY1" 2748 881645.6 1.41452674375599e-09 7.88961733373179e-10 "XI"
"ALY2" 3141 1012122.2 1.38042484138955e-09 8.41141220759632e-10 "X"
"AMA1" 1782 603587 1.16111370916753e-09 5.34118123729108e-10 "VII"
"AMD1" 2433 782710.6 1.1987112855221e-09 4.7722620418348e-10 "XIII"
"AMD2" 1650 530299 1.4180021145391e-09 6.46506270252265e-10 "IV"
"AME1" 975 313037 1.01718386418831e-09 4.43313107780556e-10 "II"
"AMF1" 1548 495760.6 1.02748418690637e-09 4.50119333267187e-10 "XV"
"AMN1" 1650 530135 1.34497648041356e-09 6.7270881223316e-10 "II"
"AMS1" 3252 1045805.4 1.33612039375876e-09 4.89746300461731e-10 "VII"
"ANB1" 474 152451.8 4.95811682146363e-10 2.42044384347211e-10 "X"
"ANP1" 1503 481823.6 8.35313600477813e-10 6.0568173441354e-10 "V"
"ANR2" 1551 498962.2 1.11418614092208e-09 3.99624630094264e-10 "XI"
"ANS1" 480 154406 1.19669892699169e-09 1.08333333333333e-09 "VIII"
"ANT1" 987 317928.4 8.7948601515721e-10 3.08431485839852e-10 "XVI"
"ANY1" 1218 392336.6 1.1103662600169e-09 4.70202067661182e-10 "XIII"
"AOS1" 1044 334450.8 9.73112230449656e-10 2.82230562978324e-10 "XVI"
"APA1" 966 310166.2 5.98611973309579e-10 2.72688940922551e-10 "III"
"APA2" 978 314058.6 1.04104004173667e-09 4.16715810270652e-10 "IV"
"APC1" 5247 1694139.4 1.48400018719112e-09 1.06812584749901e-09 "XIV"
"APC11" 498 161333.6 6.90161733669973e-10 2.58452175863429e-10 "IV"
"APC2" 2562 824112.4 1.32390907840949e-09 7.20828945919376e-10 "XII"
"APC4" 1959 629721.8 1.32158907006447e-09 6.02081301006812e-10 "IV"
"APC5" 2058 661715.6 1.32059496031876e-09 6.10420762035681e-10 "XV"
"APC9" 798 255003.6 9.22698331446488e-10 3.22403387688216e-10 "XII"
"APD1" 951 305612.2 1.07352844939972e-09 4.17832146309348e-10 "II"
"APE2" 2859 1040716.4 1.05103637500012e-09 4.70826624369594e-10 "XI"
"APE3" 1614 518824.8 5.74092773411393e-10 5.54900506442579e-10 "II"
"APE4" 1473 473766.6 9.63891339416719e-10 3.22009647027658e-10 "VIII"
"API2" 330 106474 1.08850430275068e-09 1.16865389321015e-09 "IV"
"APJ1" 1587 509203.4 1.15862642776893e-09 6.22794158604438e-10 "XIV"
"APL1" 2103 676326.6 1.26055469952037e-09 6.06492640775808e-10 "X"
"APL2" 2181 700621.2 1.24646874737085e-09 5.9898179176706e-10 "XI"
"APL3" 3078 988047.6 1.26136631495607e-09 6.24695392230514e-10 "II"
"APL4" 2499 804260.8 1.23130122128852e-09 5.66954791689959e-10 "XVI"
"APL5" 2799 901589.8 1.32635438670499e-09 6.33074995552151e-10 "XVI"
"APL6" 2430 781997 1.26843850569898e-09 4.90134029440427e-10 "VII"
"APM1" 1428 458528.6 1.22895592780238e-09 5.00023422423382e-10 "XVI"
"APM2" 1818 581423.6 1.25215783601485e-09 5.47237529340365e-10 "VIII"
"APM3" 1452 467237.4 1.07308596081166e-09 4.07892250568575e-10 "II"
"APM4" 1476 474583.2 1.2208924890035e-09 4.33587955787753e-10 "XV"
"APN1" 1104 353339.8 8.57281365930994e-10 3.140479195897e-10 "XI"
"APN2" 1563 501294.6 1.26312618669948e-09 5.20192101043996e-10 "II"
"APP1" 1764 567365.8 1.34144553989579e-09 6.78236450068891e-10 "XIV"
"APQ12" 417 133203.4 7.15279517798477e-10 2.79542593950173e-10 "IX"
"APQ13" 417 133244.4 1.66666666666667e-09 2.16666666666667e-09 "X"
"APS1" 471 152984.2 1.03467391467633e-09 3.29428130240846e-10 "XII"
"APS2" 444 143961.8 9.12775212689102e-10 2.16842817376897e-10 "X"
"APS3" 585 213048.4 8.54990655079956e-10 2.61659454054123e-10 "X"
"APT1" 564 181114.8 6.70357227138051e-10 1.92690285492793e-10 "XIII"
"APT2" 546 175491.2 9.78019277739178e-10 3.05463575625156e-10 "IV"
"AQR1" 1761 565545.2 9.798824438854e-10 5.69404038753449e-10 "XIV"
"AQY1" 918 294620.6 6.49692066146502e-10 3.42242103707037e-10 "XVI"
"AQY2" 450 145911 1.17078460469829e-09 8.72353507661839e-10 "XII"
"AQY3" 1941 623392.2 1.34075339662374e-09 8.22942847367448e-10 "VI"
"ARA1" 1035 332217 7.454868452464e-10 2.64081628652519e-10 "II"
"ARA2" 1008 324055.6 1.10104219011695e-09 3.59436240286658e-10 "XIII"
"ARB1" 1833 589581.6 1.08256244366933e-09 3.21930556877636e-10 "V"
"ARC1" 1131 362535.2 6.83502589549978e-10 2.98571988687406e-10 "VII"
"ARC15" 465 150496 7.05593779636706e-10 2.23688805651706e-10 "IX"
"ARC18" 537 173445.4 8.28093467663771e-10 2.27389459054766e-10 "XII"
"ARC19" 516 166769.2 7.86273594930605e-10 2.29453112386373e-10 "XI"
"ARC35" 1029 330625.8 8.07247272126719e-10 2.56774962498375e-10 "XIV"
"ARC40" 1155 371520 8.27821208409497e-10 2.65152655474534e-10 "II"
"ARD1" 717 229623.4 7.71754160111607e-10 2.52964724876852e-10 "VIII"
"ARE1" 1833 589405.6 9.74525690637277e-10 5.92622985486852e-10 "III"
"ARE2" 1929 621294.8 9.23275357878693e-10 5.4737856603262e-10 "XIV"
"ARF1" 546 176633.2 6.99346412320259e-10 2.0386617375676e-10 "IV"
"ARF2" 546 175671.2 7.91261922869797e-10 2.0919055537236e-10 "IV"
"ARF3" 552 179566.4 7.11956552189257e-10 2.66766271940643e-10 "XV"
"ARG1" 1263 406181.6 8.70945865037244e-10 2.67794775649716e-10 "XV"
"ARG2" 1725 554778 1.32618665657604e-09 6.0290274411431e-10 "X"
"ARG3" 1017 327574.4 9.25171914628256e-10 2.74146085531402e-10 "X"
"ARG4" 1392 447578.4 9.24202742572858e-10 3.29801854730786e-10 "VIII"
"ARG7" 1326 426409.2 7.39286084082189e-10 3.39623286744094e-10 "XIII"
"ARG8" 1272 408497.4 1.0920349803401e-09 5.48960593987061e-10 "XV"
"ARG80" 534 172995.8 1.0787458175606e-09 3.79662822478282e-10 "XIII"
"ARG81" 2643 848216.6 1.39249612426919e-09 7.96904578144588e-10 "XIII"
"ARG82" 1068 342224.6 9.46044415734061e-10 2.83447578577653e-10 "IV"
"ARH1" 1482 476097.4 1.0724376042911e-09 3.21536524072976e-10 "IV"
"ARI1" 1044 335669.8 8.91203107481709e-10 3.31161250941566e-10 "VII"
"ARK1" 1917 614699.4 1.26717998615836e-09 5.60135855800706e-10 "XIV"
"ARL1" 552 178848.4 8.58543785679853e-10 1.84522685322128e-10 "II"
"ARL3" 597 194552.4 9.12230362404639e-10 3.29332324984716e-10 "XVI"
"ARN1" 1884 603659.8 1.18217972162603e-09 5.79688100704867e-10 "VIII"
"ARN2" 1863 597156.6 1.38682468198728e-09 6.42025235620162e-10 "VIII"
"ARO1" 4767 1538089.4 1.28433951815622e-09 6.0856400473503e-10 "IV"
"ARO10" 1908 614575.6 1.17046410742076e-09 3.39917766545524e-10 "IV"
"ARO2" 1131 363260.2 8.27864487964727e-10 2.34270337371923e-10 "VII"
"ARO3" 1113 356988.6 8.76909682160026e-10 2.56255041097112e-10 "IV"
"ARO4" 1113 357839.6 6.81351102565964e-10 2.09101539413386e-10 "II"
"ARO7" 771 247642.2 8.34110636866927e-10 3.09933913125676e-10 "XVI"
"ARO8" 1503 483927.6 9.44673004242967e-10 2.58572955161219e-10 "VII"
"ARO80" 2853 919082.6 1.35971550565037e-09 7.05958248750747e-10 "IV"
"ARO9" 1542 496648.4 1.02966246131798e-09 6.24384265880126e-10 "VIII"
"ARP1" 1155 370611 1.21551912786702e-09 4.26460174492844e-10 "VIII"
"ARP10" 855 274604 8.73126549725871e-10 3.61898787448981e-10 "IV"
"ARP2" 1176 417143.8 9.70990534095673e-10 2.6407962404426e-10 "IV"
"ARP3" 1350 434476 1.06165984089296e-09 3.16785599131001e-10 "X"
"ARP4" 1470 470980 1.24647800711697e-09 4.60194821837022e-10 "X"
"ARP5" 2268 724910.6 1.35356918421465e-09 4.88357937035544e-10 "XIV"
"ARP6" 1317 423116.4 1.13791274865276e-09 4.62452656697868e-10 "XII"
"ARP7" 1434 459111.8 1.23372492010066e-09 4.60159804455629e-10 "XVI"
"ARP8" 2646 848026.2 1.223748683146e-09 6.39738844350078e-10 "XV"
"ARP9" 1404 479067 1.11126998916019e-09 3.83497622106637e-10 "XIII"
"ARR1" 885 284334 1.07363533236285e-09 3.52032233088377e-10 "XVI"
"ARR2" 393 125452.6 1.26828148206988e-09 5.13071374215283e-10 "XVI"
"ARR3" 1215 389988 1.13218331401861e-09 7.06900542697008e-10 "XVI"
"ART10" 1557 499713.4 1.29181151938843e-09 6.30672105934349e-10 "XII"
"ART5" 1761 564754.2 1.32963277956455e-09 5.86767568374458e-10 "VII"
"ARV1" 966 311154.2 1.07032639695834e-09 4.13577961689889e-10 "XII"
"ARX1" 1782 573831.4 9.96854151605497e-10 3.9603997548832e-10 "IV"
"ASA1" 1332 428096.4 1.23916565535877e-09 5.23503690242782e-10 "XVI"
"ASC1" 960 395969.6 5.95798655466822e-10 1.52215016607666e-10 "XIII"
"ASE1" 2658 856050.6 1.32991994485157e-09 7.3391502019022e-10 "XV"
"ASF1" 840 269327 8.47087725604825e-10 2.88360937768427e-10 "X"
"ASF2" 1578 504396.6 1.3957541008001e-09 6.39938876163318e-10 "IV"
"ASG1" 2895 931650 1.31913596635111e-09 6.7404334004948e-10 "IX"
"ASG7" 630 202602 6.42573433358407e-10 1.95205239403312e-10 "X"
"ASH1" 1767 565538.4 1.37722095447167e-09 6.78085863320539e-10 "XI"
"ASI1" 1875 603764 1.1885033738135e-09 7.8723572822812e-10 "XIII"
"ASI2" 870 279952 1.13530203608701e-09 4.35014842425174e-10 "XIV"
"ASI3" 2031 654406.2 1.02322773203578e-09 6.76925753219124e-10 "XIV"
"ASK1" 879 281944.8 1.05249044128517e-09 4.71814873233923e-10 "XI"
"ASK10" 3441 1109332.2 1.3954915598469e-09 8.11446572820408e-10 "VII"
"ASM4" 1587 508333.4 1.17548636838496e-09 5.71197122505222e-10 "IV"
"ASN1" 1719 552294.8 9.3896629467693e-10 3.42354571100291e-10 "XVI"
"ASN2" 1719 553312.8 8.25557610648334e-10 2.80638537879676e-10 "VII"
"ASP1" 1146 368944.2 7.56318397643867e-10 2.42001802492381e-10 "IV"
"ASP3-1" 1089 350173.8 1.31902849311113e-09 3.77919257654137e-10 "XII"
"ASP3-2" 1089 350173.8 1.31902849311113e-09 3.77919257654137e-10 "XII"
"ASP3-3" 1089 350173.8 1.31902849311113e-09 3.77919257654137e-10 "XII"
"ASP3-4" 1089 350173.8 1.31902849311113e-09 3.77919257654137e-10 "XII"
"ASR1" 867 278212.4 1.19010564556965e-09 5.41507328619624e-10 "XVI"
"AST1" 1290 414265 9.85374765713685e-10 4.47164691374712e-10 "II"
"AST2" 1293 415738.6 9.0839424758093e-10 3.83500343481524e-10 "V"
"ATC1" 885 283506 1.0384783322414e-09 4.32336224090996e-10 "IV"
"ATE1" 1512 485358.4 1.09401407265019e-09 3.4117319350184e-10 "VII"
"ATF1" 1578 508025.6 1.27967461435477e-09 5.37776241846443e-10 "XV"
"ATF2" 1608 517686.6 1.03030918327698e-09 4.19633819762727e-10 "VII"
"ATG1" 2694 864629.8 1.40265207156496e-09 7.12742643540586e-10 "VII"
"ATG10" 504 161486.8 1.02295525563162e-09 2.93565609176992e-10 "XII"
"ATG11" 3537 1138110.4 1.37588975910802e-09 7.86145787999568e-10 "XVI"
"ATG12" 561 182333.2 1.17749685108508e-09 3.53887892222276e-10 "II"
"ATG13" 2217 710040.4 1.31574745388316e-09 5.75548197456592e-10 "XVI"
"ATG14" 1035 331979 1.20673222589969e-09 4.03614071498204e-10 "II"
"ATG15" 1563 501905.6 1.36380247301237e-09 1.13262169433881e-09 "III"
"ATG16" 453 143525.6 1.34374984831754e-09 4.8435104993473e-10 "XIII"
"ATG17" 1254 401284.8 1.19369743090238e-09 4.28097069151832e-10 "XII"
"ATG18" 1503 482930.6 1.14152223887873e-09 3.65913146753705e-10 "VI"
"ATG19" 1248 400211.6 1.10195056316084e-09 5.74967696910054e-10 "XV"
"ATG2" 4779 1527931.8 1.41671036107931e-09 8.25812934212584e-10 "XIV"
"ATG20" 1923 615274.6 1.24319255363199e-09 7.00069018180764e-10 "IV"
"ATG21" 1491 478533.2 1.1196250363358e-09 4.21205545932243e-10 "XVI"
"ATG22" 1587 507962.4 8.82593480236701e-10 4.45159973379922e-10 "III"
"ATG23" 1362 435444.4 1.33111009526115e-09 5.68570443042328e-10 "XII"
"ATG26" 3597 1147022.4 1.42346449938592e-09 8.49603142389743e-10 "XII"
"ATG27" 816 261611.2 7.88251658969984e-10 3.65861373306433e-10 "X"
"ATG29" 642 209243.4 1.35816101909056e-09 6.0915045023136e-10 "XVI"
"ATG3" 933 298858.6 1.03309293894645e-09 4.05170441681962e-10 "XIV"
"ATG32" 1590 511250 1.26952872002808e-09 5.9412989886274e-10 "IX"
"ATG33" 594 190304.8 7.04674728443463e-10 2.13103671146265e-10 "XII"
"ATG34" 1239 398010.8 1.01511569251345e-09 4.21835286478757e-10 "XV"
"ATG36" 882 283870.4 1.09021736908702e-09 3.27281904457452e-10 "X"
"ATG38" 681 236601 1.17951138771872e-09 5.95381643097393e-10 "XII"
"ATG4" 1485 476781 1.27231407312268e-09 4.54582318603266e-10 "XIV"
"ATG40" 771 247901.2 7.62356764824361e-10 3.82387428959791e-10 "XV"
"ATG41" 411 132676.2 8.26911549062488e-10 3.01407595619909e-10 "XVI"
"ATG5" 885 285152 1.04241432306175e-09 3.504684864973e-10 "XVI"
"ATG7" 1893 609522.6 1.14191630003153e-09 5.02905518822358e-10 "VIII"
"ATG8" 354 113065.8 9.98059955617616e-10 2.33666315684038e-10 "II"
"ATG9" 2994 962426.8 1.31222871845618e-09 8.89051096358329e-10 "IV"
"ATH1" 3636 1163947.2 1.28875601478911e-09 1.15210930689709e-09 "XVI"
"ATM1" 2073 666158.6 1.08976009399364e-09 5.62768591785034e-10 "XIII"
