"Weight" "Gene"
882201 "PEX3"
727278.8 "GABARAPL2"
677178 "MYOC"
1136426 "SH3YL1"
771980.6 "FAM136A"
2567854 "VCL"
804478.8 "DEPDC1B"
2606326.2 "DAPK2"
1209706.8 "NSMAF"
820949 "ADSS2"
627292.2 "STAP1"
1172081.4 "TIMP2"
1576189.2 "RFC1"
1302943.8 "TBC1D23"
2170091.2 "CUL3"
1617307.6 "MYOM2"
489394.4 "OTC"
2128868.8 "CYP46A1"
2061812.4 "ZZZ3"
947017.2 "SLC18A1"
1186889.4 "USP2"
3230980.4 "CASR"
572484.4 "TUBG2"
239571.4 "RPL26L1"
1880438.6 "FLT4"
1144259.6 "NSUN2"
1995981.4 "FBXO42"
1651358.4 "MFAP3"
1021486.6 "MRI1"
442983.6 "METTL1"
776859.4 "HOXC8"
653984.4 "AGA"
1154734.8 "PI4K2B"
3417377.4 "BOD1L1"
1416259.2 "MAT2B"
2342642.2 "TLL1"
1695820.4 "EDC4"
3694131 "TRIO"
3967973 "VCAN"
2196613.4 "CLEC16A"
1162362.6 "MSR1"
1545190.2 "CDH1"
1276075.2 "MTREX"
5083194.2 "DNAH5"
3474590 "ZFYVE16"
1367857 "RIPOR1"
1187848.2 "C6"
1631056.8 "RAI14"
1054796.6 "SOX30"
681397.2 "PNKP"
702300.6 "BEST2"
2720186.4 "PHLPP2"
816394.8 "SPDL1"
1300983.2 "STAU2"
699644 "SLC66A1"
1329313.8 "CTNS"
633593.6 "RTN4R"
638135.6 "PHF23"
1103746.6 "CDH10"
3241019.2 "INPP4A"
2244497.6 "RAB27B"
1403544.6 "PSMA4"
2264239.2 "MYO16"
1059151.6 "LSG1"
795557.4 "PARP3"
2739825 "TNC"
663778.6 "THAP3"
1418410.2 "RIPOR3"
1195784.4 "TDP1"
1047317.4 "AIFM2"
365148.8 "C2orf83"
1158380 "SPATA7"
1632121.4 "MED17"
1011212.2 "RETSAT"
403973 "CAPG"
290177.6 "AP2S1"
6101044 "USH2A"
383432 "ZPBP"
2720422 "TG"
2269983.4 "ADAM28"
690332.6 "BARX2"
2513720.8 "DCUN1D1"
2174858.4 "JADE2"
952565.6 "ZIC2"
1356874.4 "LCP2"
1908177 "TRIT1"
976665.8 "ADRB1"
194603.8 "GUCA2B"
1916270.4 "CUL7"
1234947.2 "CTNNA1"
1634104.4 "PHKA2"
1781794.6 "CNTLN"
1833307.4 "EPHA3"
1738607.4 "HSPA5"
1831222.4 "DSG2"
1019089 "GEMIN8"
2164350 "OFD1"
1432174.8 "GPM6B"
641559.8 "MAGEC2"
3476286.8 "PREX2"
1767232 "WDR37"
2148106.6 "YTHDC2"
1386939.8 "CTPS2"
760211 "ATP6V1H"
1322678.6 "POLR2B"
1520215.2 "ATOSA"
2417740.6 "ARAP2"
3109398.2 "TPR"
1433750.4 "CP"
2127862.8 "KATNIP"
606765 "DTNBP1"
1656808.8 "XK"
1197723 "ANO2"
1226100.4 "C12orf4"
1475384 "SCML1"
2237697.8 "WWC3"
2023733.8 "ARHGAP6"
2174324.2 "FAM184B"
2978357.4 "MAP4"
1477979.4 "GOPC"
2715257.2 "ROS1"
1561963.2 "USP28"
3244338.6 "HDAC9"
1431882 "TSPAN17"
374486.2 "NOP16"
2092099.8 "CC2D2A"
1530939.8 "RRM2B"
1434582.6 "ZNF800"
285451.2 "TNFRSF17"
2629484.6 "SNX29"
1219474 "LMO3"
674950 "MRPS10"
812969 "GUCA1A"
3617153.4 "RSF1"
5261998.4 "VPS13D"
3010108.2 "CELF2"
1658203 "FAM120A"
1532070.2 "R3HDM1"
936302.4 "COL9A2"
1840953.4 "KITLG"
3010201.8 "ERCC8"
2348782.8 "ADAMTS6"
2940724.4 "H6PD"
697902.6 "VAMP3"
2042314 "PER3"
515176.2 "UTS2"
1883956.4 "TNFRSF9"
1248637.8 "EPN3"
2092405.4 "LTBP1"
852640.6 "RCN1"
1112029.4 "ELN"
544123 "RFC2"
3481469.6 "ARID1B"
1141121 "CLPTM1L"
2772094.6 "NEDD4L"
726232.8 "FOXP3"
1123755.4 "PPP1R3F"
650101.2 "HEXB"
3576377 "PTCD2"
3962308.6 "NEXMIF"
808409.8 "JKAMP"
3069439.8 "DKK3"
1766808.4 "ARHGEF5"
1203860 "NFE2L3"
1750382 "MCUR1"
1258963 "LIMA1"
945112.6 "LETMD1"
3776825.8 "SLC4A8"
2401839 "LAMC3"
2237471.4 "PTGER3"
772776.4 "TNIP3"
1541131.8 "MAPK9"
940113.8 "COL23A1"
1500966.8 "BCAR1"
1120053.2 "FHIP1B"
915043.6 "HERPUD1"
638513.8 "HOMER3"
786856.8 "RAD51"
2820045.4 "POLQ"
2011369.8 "PIK3CB"
633577.8 "CYBA"
578378.2 "THOC3"
3224648 "HEBP2"
2044401.8 "MPHOSPH9"
2084677.4 "PLEKHA5"
589733.4 "PRSS8"
1764597.2 "SIKE1"
1443959.2 "RRP12"
2260291.6 "FNIP2"
712416.4 "MSMO1"
1495866 "TTC17"
1844074.4 "ALX4"
1734470.2 "FSTL4"
2574629.2 "FOXN3"
1020246.8 "METTL24"
437826 "AKR7A2"
661392.8 "MRTO4"
404982.8 "NNAT"
575918.2 "USE1"
2511638.6 "MCF2L2"
886380.4 "NRIP2"
3431726.2 "LAMA3"
3738281 "AP5M1"
1220482.4 "ANAPC4"
1038166.8 "KCNQ1"
779682.6 "TRAPPC3"
1420419 "THRAP3"
423376.2 "PHPT1"
673076.4 "ENTPD2"
2228645.4 "LY75"
1944351.4 "ARID4B"
842120.6 "OPN3"
835315.2 "SDCCAG8"
1642003.8 "PTPRN"
1169946.8 "HHAT"
3490286 "KIF1B"
1281046.6 "FOXC1"
1267696.8 "TBC1D22A"
7051314.4 "SYNE2"
2127791 "PLEKHH1"
2525948.4 "ATP9A"
573668.8 "SPO11"
1013269.8 "CBLN4"
632666.2 "CHRDL2"
2344799.2 "FAM168A"
1403012.2 "RELT"
1216926.8 "GALC"
644168.8 "NOP58"
1119783 "SZRD1"
1521102.4 "KCNH2"
1046655.4 "CUL1"
1416578.8 "FAM114A2"
2072532.4 "CYFIP2"
1459534.6 "TAB2"
650925.2 "GINM1"
3243099.6 "EIF2AK2"
1950671.6 "USP36"
5419940 "KMT2C"
946711.6 "MCOLN3"
1326742.8 "CCDC85A"
2025624.8 "PUM2"
687119.8 "MRPL43"
1057134.4 "ITIH4"
936271.8 "ITIH1"
392581.2 "HPF1"
1515744.4 "ZFR"
1481420.6 "ZNF280C"
630251.8 "NPFFR2"
1280687.2 "PHF21B"
1401103.2 "TRAF1"
2964484.6 "RC3H2"
907500.4 "IL17RB"
1870262.6 "TRAF3IP2"
1092714.6 "GYG2"
1964430.6 "DCBLD2"
547891.4 "SERPINB3"
2196656.2 "SOAT1"
1402767.2 "PKP2"
1048985 "MSH4"
1003104.8 "F7"
800799.8 "GDI2"
1651443.6 "PRDM1"
1022165 "ATG5"
1886892.8 "TMCC3"
512478 "PITHD1"
1876297.4 "MTA3"
3022077.2 "USP13"
2347886 "ATP11B"
1739980.6 "LAMC2"
1660715.2 "CDK14"
1722238.8 "SEC61A1"
1807882 "PPP1R12A"
2024004.8 "RASGRF1"
2024417.8 "RASGRF1"
1463963 "CAMK2B"
2168160 "CROCC"
1549045 "POLR3E"
2849034 "ATP2B4"
3798492 "ZC3H11A"
1255713.8 "RIOK2"
584164.2 "YIPF1"
1457935.4 "NDC1"
1946794.8 "DGKG"
1627538.6 "FLYWCH1"
1691289 "UNKL"
702465 "TBXAS1"
970612.2 "PARP12"
1079339.4 "ALDH18A1"
1675455.2 "TARBP1"
2107727.4 "GATB"
1787141 "MXD1"
1295256.2 "CDK17"
827759.4 "DNAJC25"
1416261.8 "SLC2A3"
1243743.2 "PSD"
1211722.8 "CTDP1"
2050193.6 "YBX3"
891977.2 "STYK1"
3787734.8 "WNK1"
131871.6 "RPS17P5"
1501412.6 "CCAR1"
1456291.2 "OGFR"
733115.6 "GNA15"
835728.6 "CREB3L3"
1595376.4 "PIGV"
1794384.6 "PTPRU"
617552.6 "SNRNP40"
2032399.2 "RIMBP2"
2365830.4 "COL11A1"
3109035.2 "QSER1"
383436.4 "MPC1"
1519091 "ACAA1"
2988599.8 "BCAT1"
2063582.8 "HDAC7"
1836857.2 "LZTS1"
2933669.4 "PRDM6"
539556.6 "WNT8A"
504232.2 "SPAG4"
6524541.4 "NCKAP1"
587757.8 "MRPS35"
1111540.2 "GUCY1B1"
1798760.6 "SFSWAP"
1909707 "TNK2"
4250732.6 "MON2"
1431647.4 "CDH3"
695480 "ARSF"
1503224.6 "GPBP1"
1902202.2 "DGAT2"
1180239 "ZNF112"
980261.4 "CS"
1112954.8 "LTK"
555954.4 "MRPS24"
1321142.2 "ELMO2"
2031668 "WAPL"
1383254 "VMP1"
2082283.4 "APPBP2"
1193784.6 "POLD1"
1382069.2 "SEZ6"
1241948.2 "EIF4B"
954450.6 "SLC6A16"
1839386.8 "BICRA"
987798 "SPHK2"
1237863.8 "RPL18"
555804 "CA11"
735605.6 "ISOC2"
990738.4 "U2AF2"
5211479.8 "EPN1"
1155626 "MED29"
1823049.2 "AHRR"
842714 "GSC2"
2058991 "ZNF275"
1458074.2 "MTMR1"
1199098.8 "GPC1"
1142843 "ADCK1"
844990.8 "HAGH"
1322600.6 "RNF4"
940893 "CASP8"
2481839.4 "LIMCH1"
848063.8 "INTS13"
1385333 "TM7SF3"
834908.4 "DLX3"
1584074.8 "SPA17"
1072768 "TSPAN32"
887747.8 "CCN5"
802475.6 "DMRT3"
1149456.2 "ST3GAL6"
1158551 "ATP2C2"
1098429.6 "NGFR"
2932258.6 "CDON"
2263809.2 "TAF2"
4922759.8 "HIPK2"
1453073.8 "TNPO3"
580587.8 "BORCS8-MEF2B"
444403.2 "RFXANK"
725023.2 "TMEM161A"
819822.2 "LPAR2"
2131222.4 "CTSA"
1992965.8 "SUGP2"
2208081.8 "SLC12A2"
639148.4 "SNX24"
841063.4 "EYA2"
726120.2 "CNN2"
2218957.6 "ABCA7"
1604859.2 "SNCAIP"
2377190.2 "DDX20"
1027066.8 "BTBD1"
2278613.2 "FAR2"
1965779.4 "BCAS1"
502066.2 "POU1F1"
696881.8 "CHI3L2"
1582283.2 "SBNO2"
1099764.4 "PMS1"
784042.8 "HMG20B"
1953805.4 "CALCRL"
1580276.8 "TAF11"
2045517 "ANKS1A"
1633896 "AP3D1"
1497550.2 "ZNF76"
697001 "NHERF2"
345898.4 "NTHL1"
3073955.4 "BLTP3A"
2897053.8 "GNAI3"
1929702.4 "IPO5"
655043.8 "OAT"
3207639.8 "WDR3"
1948733 "PKN2"
490266.2 "WDR18"
2259696.4 "TRAM2"
1931305.2 "NTN1"
1347439.2 "GLP2R"
1476552.4 "MCM10"
1749076.2 "DGKA"
2020389.8 "ERBB3"
661867.2 "ROPN1"
2318274.6 "ANKRD44"
780134.2 "KARS1"
1851116.4 "ADAT1"
718989.4 "PDIA5"
1112184.4 "TBC1D22B"
455925.2 "NDUFB4"
4348156 "SPEN"
3255220.6 "MYLK"
656347.4 "ZC3H15"
1237792.2 "MAP2K4"
794394.8 "PACC1"
1449870.2 "SNAP91"
2521603.4 "SLK"
2955149 "CYB5R4"
1809010.4 "COL17A1"
2154695 "GSTO2"
798593 "SEC61A2"
1047982 "PRKCQ"
903869.4 "TLE2"
2218953.2 "ASB1"
1217851.6 "FAM107B"
1071637.6 "ME1"
1924439 "TBC1D1"
3062455 "CDK13"
2085596.2 "MTHFD2"
3202156.2 "SLC9A7"
1772297.8 "FOXJ2"
958640.8 "YBX1"
1572351.4 "PDE4A"
1043785 "PPP2R5A"
1402758.8 "CTNNA2"
1940595.8 "ELAVL1"
1253828.6 "TIE1"
2795435 "DIP2B"
1052886.6 "SMARCD1"
1447758.2 "KDM4A"
758557.6 "NFYC"
491276 "ZMYND12"
1787612 "SLC9A3"
1027182.8 "NGEF"
3568144 "ASPM"
2633657.8 "CD84"
519679 "ELOVL1"
442221.8 "SPI1"
1178479.4 "POLR1H"
1798362.2 "MPPED2"
1102343.8 "CLDN18"
2113266.6 "ZBTB11"
2229314 "ATXN3"
928213.8 "GOLGA5"
2241475.8 "FGFR2"
911764.6 "LRRC40"
623487.4 "ISOC1"
1546011.8 "EML1"
1426189.4 "TRMT11"
1402083.4 "THUMPD1"
640364.2 "MSANTD3"
2225165.8 "KIF26A"
4221756.4 "ATG2B"
2354467 "ARFGEF1"
950029 "ACSM2B"
1760867.4 "ZFAT"
851970.2 "MTFR1"
1432390 "STAG3"
2469726 "FECH"
4014186.6 "MYO9A"
1418398.6 "DDX3Y"
1052530 "PFKP"
1084303 "IDI1"
1745825.8 "SP100"
1474758 "KLF6"
497885 "PLPP1"
2359250.4 "NEO1"
1086953.8 "TRAM1"
2019864.2 "PHKA1"
959166 "TNFRSF1A"
1703740.6 "CACNB1"
2719862.2 "EVI5"
2017360 "STOML1"
965298.2 "PKM"
1502037.8 "DHX29"
1894918.2 "DNTTIP2"
1598204.8 "METTL22"
3337359.8 "TP53BP1"
1492323.8 "TRO"
2488738 "RRP15"
1263080.2 "RHOA"
1997112 "DHX8"
172233.8 "PMS2P4"
769818 "PRKCZ"
1715060.2 "ZFY"
1136807 "IARS2"
1982594.2 "SYT1"
3285871.8 "NAV3"
551040.4 "IDH3G"
862966.8 "ROGDI"
1217000.2 "PDZD4"
2232776.6 "ATP2B3"
3039549.2 "ROCK1"
1005777.8 "CBFB"
4072940 "PDK3"
1307085.8 "HYAL2"
2886612.2 "HDAC4"
665671 "RASSF1"
1389984.4 "FGFR3"
397783.4 "IFI35"
1963246.6 "HEATR6"
797760.8 "COASY"
1401356.8 "PLEKHH3"
1868919.8 "MEF2A"
931236.6 "OTUD5"
1059358.2 "TFE3"
1216463 "TBC1D25"
2317355.6 "ACSL4"
965352 "INPP5A"
537189.6 "GPKOW"
1821263.4 "GRIPAP1"
639612.2 "FTSJ1"
2003514.2 "PRR11"
1289699.4 "REEP1"
2919384.2 "ATP11A"
4015252 "POLR1A"
436908 "LAPTM4A"
2121993.4 "TTC7A"
799139 "IP6K2"
1228285.8 "STON1-GTF2A1L"
1181385.4 "SRBD1"
2814996.8 "KIF2A"
961925.6 "RASGRP2"
2329669 "PSME4"
1300216.8 "IFT80"
1522003.8 "SIRT2"
1503316 "ERLEC1"
878378.8 "PPP2R5B"
922818.2 "PYGM"
