"Gene" "Cannonical" "Length" "Cromo"
"CLVS2" 1 11219 "6"
"TTBK2" 1 11208 "15"
"NBEA" 1 11200 "13"
"FOXK1" 1 11194 "7"
"ZNF778" 1 11192 "16"
"GOLGB1" 1 11186 "3"
"CAND1" 1 11176 "12"
"CBL" 1 11168 "11"
"ATRX" 1 11165 "X"
"ADAM10" 1 11158 "15"
"GABRA4" 1 11147 "4"
"PTCD2" 1 11145 "5"
"CDH23" 1 11138 "10"
"MEGF8" 1 11137 "19"
"MKLN1" 1 11136 "7"
"SPTBN2" 1 11136 "11"
"WNT2B" 1 11130 "1"
"SBNO1" 1 11128 "12"
"TSC22D2" 1 11110 "3"
"REL" 1 11108 "2"
"SETX" 1 11101 "9"
"PTPN4" 1 11090 "2"
"PGAP1" 1 11090 "2"
"MAPKAPK5" 1 11083 "12"
"SDK2" 1 11079 "17"
"BPTF" 1 11075 "17"
"KLF12" 1 11074 "13"
"BDP1" 1 11073 "HSCHR5_1_CTG1_1"
"NHLRC2" 1 11051 "10"
"RUBCNL" 1 11050 "13"
"TRHDE" 1 11047 "12"
"SFT2D2" 1 11040 "1"
"CACUL1" 1 11035 "10"
"EPHB2" 1 11035 "1"
"CELSR2" 1 11015 "1"
"SLC24A2" 1 10990 "9"
"CDC42BPA" 1 10978 "1"
"PAPPA" 1 10971 "9"
"OTUD7A" 1 10964 "15"
"TBC1D16" 1 10960 "17"
"DCTN5" 1 10954 "16"
"FBN2" 1 10927 "5"
"TENM3" 1 10923 "4"
"PGBD5" 1 10914 "1"
"TRIM56" 1 10910 "7"
"PPM1L" 1 10906 "3"
"UBR5" 1 10895 "8"
"SHROOM3" 1 10891 "4"
"AGAP1" 1 10889 "2"
"PLXNA3" 1 10885 "X"
"RFX7" 1 10885 "15"
"MAS1" 1 10881 "6"
"USP31" 1 10881 "16"
"NUFIP2" 1 10877 "17"
"STON2" 1 10874 "14"
"ASPM" 1 10863 "1"
"SORL1" 1 10863 "11"
"GABRG3" 1 10862 "15"
"PIEZO2" 1 10859 "18"
"MED28" 1 10858 "4"
"KIF1B" 1 10855 "1"
"TNRC18" 1 10839 "7"
"SHANK2" 1 10830 "11"
"PPP2R2B" 1 10828 "5"
"RORA" 1 10827 "15"
"PRR14L" 1 10827 "22"
"ARL10" 1 10826 "5"
"PREX2" 1 10824 "8"
"SV2C" 1 10824 "5"
"URB1" 1 10818 "21"
"ZFYVE16" 1 10805 "5"
"BAHCC1" 1 10801 "HG1369_PATCH"
"USP24" 1 10800 "1"
"DBT" 1 10799 "1"
"ANKRD17" 1 10797 "4"
"WNK1" 1 10796 "12"
"MED12L" 1 10794 "3"
"CREBBP" 1 10790 "16"
"SPEG" 1 10782 "2"
"CRYBG3" 1 10779 "3"
"NBPF14" 1 10779 "1"
"TEP1" 1 10775 "14"
"SPRYD4" 1 10769 "12"
"NSD3" 1 10768 "8"
"UGGT1" 1 10761 "2"
"SLC16A10" 1 10757 "6"
"GALR1" 1 10749 "18"
"ORAI2" 1 10747 "7"
"PAG1" 1 10744 "8"
"SGIP1" 1 10737 "1"
"ITGA1" 1 10736 "5"
"KIAA1671" 1 10732 "22"
"MBD5" 1 10732 "2"
"PRDM11" 1 10729 "11"
"TMEM178B" 1 10726 "7"
"CHD6" 1 10719 "20"
"DCHS1" 1 10713 "11"
"FBXO22" 1 10707 "15"
"REV3L" 1 10706 "6"
"NCOR1" 1 10705 "17"
"APC" 1 10704 "5"
"KDM5A" 1 10701 "12"
"MTO1" 1 10698 "6"
"CTNNA3" 1 10696 "10"
"TRIM66" 1 10695 "11"
"MAST4" 1 10677 "5"
"SESTD1" 1 10671 "2"
"AR" 1 10667 "X"
"DDI2" 1 10667 "1"
"THSD7A" 1 10655 "7"
"OSBPL6" 1 10652 "2"
"LAMA3" 1 10651 "18"
"MDGA1" 1 10629 "6"
"LINC02397" 1 10626 "12"
"PRRC2C" 1 10624 "1"
"DSE" 1 10621 "6"
"TRANK1" 1 10611 "3"
"AMER2" 1 10610 "13"
"HSPA4L" 1 10608 "4"
"DMXL2" 1 10596 "15"
"SDK1" 1 10593 "7"
"EYS" 1 10590 "6"
"GTDC1" 1 10585 "2"
"TMEM200C" 1 10579 "18"
"RIMKLA" 1 10577 "1"
"CACNG5" 1 10576 "17"
"DIS3" 1 10571 "13"
"PPARGC1B" 1 10569 "5"
"BOD1L1" 1 10567 "4"
"RLIM" 1 10565 "X"
"ATXN1" 1 10557 "6"
"SLFN5" 1 10555 "17"
"LIFR" 1 10553 "5"
"CYP20A1" 1 10552 "2"
"PPP1R9A" 1 10547 "7"
"MTR" 1 10547 "1"
"TMEM154" 1 10534 "4"
"COL6A3" 1 10532 "2"
"PCNT" 1 10526 "21"
"PLEKHG3" 1 10526 "14"
"UBXN7" 1 10521 "3"
"PKD1P1" 1 10508 "HSCHR16_1_CTG1"
"STOX2" 1 10507 "4"
"CDC42" 1 10503 "1"
"EXOC5" 1 10486 "14"
"SLC44A1" 1 10482 "9"
"ZNF385D" 1 10478 "3"
"CLOCK" 1 10470 "4"
"MED13" 1 10461 "17"
"C4orf54" 1 10451 "4"
"LRPAP1" 1 10446 "4"
"VGLL3" 1 10438 "3"
"RNF150" 1 10432 "4"
"TCEANC2" 1 10429 "1"
"NIPBL" 1 10425 "5"
"FARP1" 1 10419 "13"
"LIPG" 1 10418 "18"
"DLGAP2" 1 10418 "8"
"ABCA1" 1 10408 "9"
"ZNF106" 1 10396 "15"
"TNRC6C" 1 10391 "17"
"PTPRD" 1 10389 "9"
"SLC24A4" 1 10388 "14"
"DICER1" 1 10384 "14"
"TRPM7" 1 10382 "15"
"TP53BP1" 1 10369 "15"
"ZBTB25" 1 10365 "14"
"FBXO25" 1 10356 "8"
"TENM2" 1 10356 "5"
"ZNF462" 1 10345 "9"
"GALNT5" 1 10344 "2"
"MECP2" 1 10343 "X"
"TTC39B" 1 10339 "9"
"NFASC" 1 10336 "1"
"NIN" 1 10334 "14"
"FBXL20" 1 10332 "17"
"ARHGEF12" 1 10326 "11"
"LCORL" 1 10321 "4"
"SLC35F5" 1 10314 "2"
"TNS1" 1 10311 "2"
"ARID1B" 1 10310 "6"
"GPR26" 1 10306 "10"
"EXPH5" 1 10304 "11"
"ZDBF2" 1 10303 "HSCHR2_6_CTG7_2"
"C1orf21" 1 10293 "1"
"PKD1P5" 1 10291 "16"
"CENPF" 1 10290 "1"
"ELK4" 1 10288 "1"
"ARHGAP32" 1 10280 "11"
"SARM1" 1 10277 "17"
"PANK3" 1 10274 "5"
"MAP1A" 1 10266 "15"
"LRP6" 1 10252 "HG1362_PATCH"
"DOCK5" 1 10246 "8"
"ERCC6L2" 1 10245 "9"
"CFAP44" 1 10238 "3"
"ALPK3" 1 10238 "15"
"G3BP1" 1 10227 "5"
"PCSK5" 1 10226 "9"
"NAV3" 1 10219 "12"
"SPTBN1" 1 10211 "2"
"XYLT1" 1 10208 "HG2263_PATCH"
"FZD10-AS1" 1 10193 "12"
"ITGA11" 1 10191 "15"
"DCC" 1 10181 "18"
"APC2" 1 10179 "19"
"SPTB" 1 10177 "14"
"ZNF805" 1 10169 "19"
"RBM33" 1 10168 "7"
"ZNF236" 1 10157 "18"
"LRBA" 1 10148 "4"
"DYM" 1 10144 "18"
"SLC7A14" 1 10140 "3"
"MYEF2" 1 10137 "15"
"DR1" 1 10124 "1"
"LANCL3" 1 10123 "X"
"CCDC187" 1 10119 "9"
"PPARA" 1 10118 "22"
"MYLK" 1 10113 "3"
"DCP2" 1 10110 "5"
"KRR1" 1 10104 "12"
"MIB1" 1 10100 "18"
"ZNF892" 1 10100 "2"
"TRIP12" 1 10100 "2"
"PTAR1" 1 10099 "9"
"INPP4A" 1 10096 "2"
"CREB1" 1 10095 "2"
"ITM2B" 1 10089 "13"
"ST8SIA3" 1 10087 "18"
"FAM227A" 1 10087 "22"
"DDR2" 1 10086 "1"
"TRIOBP" 1 10085 "22"
"GNAI1" 1 10083 "7"
"WDFY4" 1 10082 "10"
"XRN1" 1 10079 "3"
"ZHX3" 1 10074 "20"
"CMC2" 1 10072 "16"
"AFF3" 1 10070 "2"
"APOL6" 1 10065 "22"
"CASR" 1 10062 "3"
"ALG10B" 1 10050 "12"
"MDM4" 1 10050 "1"
"CRYBG1" 1 10039 "6"
"EXT2" 1 10037 "11"
"USP9Y" 1 10036 "Y"
"CECR2" 1 10030 "22"
"ACACA" 1 10013 "17"
"HEBP2" 1 10010 "6"
"RBM23" 1 10007 "14"
"WDR3" 1 10004 "1"
"MIAT" 1 10004 "22"
"CACNA1I" 1 10002 "22"
"HELZ2" 1 10002 "20"
"TRIP11" 1 9996 "14"
"USP47" 1 9994 "11"
"STEAP4" 1 9991 "7"
"UNC13A" 1 9985 "19"
"COL4A4" 1 9984 "2"
"OTOGL" 1 9982 "12"
"MYO18A" 1 9980 "17"
"EIF4E3" 1 9978 "3"
"EIF2AK2" 1 9975 "2"
"SLC9A7" 1 9971 "X"
"RAD51D" 1 9966 "17"
"TRPS1" 1 9964 "8"
"BTD" 1 9964 "3"
"CLPB" 1 9963 "11"
"GEN1" 1 9957 "2"
"RAD54L2" 1 9957 "3"
"VCPIP1" 1 9956 "8"
"TMEM192" 1 9953 "4"
"PRICKLE2" 1 9947 "3"
"KIAA1614" 1 9946 "1"
"CFAP47" 1 9941 "X"
"ZBTB10" 1 9938 "8"
"HHIP" 1 9937 "4"
"CR1" 1 9937 "1"
"ADGRG4" 1 9933 "X"
"HCN1" 1 9933 "5"
"PKD1P2" 1 9932 "16"
"AKAP11" 1 9915 "13"
"MYO15B" 1 9914 "17"
"OR2M3" 1 9913 "1"
"SETBP1" 1 9909 "18"
"PIKFYVE" 1 9908 "2"
"ITPR1" 1 9908 "3"
"EGFR" 1 9905 "7"
"NUDT3" 1 9900 "6"
"TNIK" 1 9892 "3"
"MED13L" 1 9885 "12"
"TFDP2" 1 9880 "3"
"HDAC9" 1 9880 "7"
"DBNL" 1 9869 "7"
"CLCN5" 1 9863 "X"
"RAB30" 1 9859 "11"
"XPO4" 1 9857 "13"
"MAP3K13" 1 9857 "3"
"CHD5" 1 9850 "1"
"KCNIP4-IT1" 1 9848 "4"
"RASAL2" 1 9843 "1"
"EEA1" 1 9839 "12"
"ZNF831" 1 9827 "20"
"SHC3" 1 9819 "9"
"GK5" 1 9815 "3"
"LINC00938" 1 9815 "12"
"PAQR3" 1 9811 "4"
"NAALADL2" 1 9807 "3"
"MXRA5" 1 9804 "X"
"SCUBE1" 1 9795 "22"
"CACNA1B" 1 9792 "9"
"IKZF3" 1 9788 "17"
"CALHM5" 1 9787 "6"
"ADAMTS4" 1 9777 "1"
"CFAP54" 1 9776 "12"
"PLEKHM3" 1 9774 "2"
"EML5" 1 9771 "14"
"IRS1" 1 9771 "2"
"METTL8" 1 9770 "2"
"BSND" 1 9761 "1"
"PCDH19" 1 9756 "X"
"SNTB2" 1 9754 "16"
"SCN9A" 1 9752 "2"
"CCDC88A" 1 9751 "2"
"HDAC2" 1 9737 "6"
"ZNF326" 1 9729 "1"
"ADPRHL1" 1 9722 "13"
"N4BP2" 1 9720 "4"
"SLIT3" 1 9716 "5"
"HNRNPA1P54" 1 9714 "1"
"SMC1A" 1 9710 "X"
"NUDT4" 1 9708 "12"
"ST8SIA1" 1 9707 "12"
"QSER1" 1 9706 "11"
"TACC2" 1 9704 "10"
