GeneID	Length	TPM
ABCB1	5205	1.29479111637297e-06
ABCB10	3869	5.87365121247754e-06
ABCB10P1	2181	6.76158604771597e-09
ABCB10P3	2163	6.81785444755827e-09
ABCB10P4	2183	6.75539128266996e-09
ABCB11	2040	7.22893096571987e-09
ABCB4	4293	5.42750763771448e-07
ABCB5	5350	1.92951652692485e-08
ABCB6	2980	2.96919849061783e-08
ABCB7	4592	6.69589176167092e-06
ABCB8	4656	1.7705291486401e-06
ABCB9	3484	2.20951320515952e-06
ABCC1	6518	4.72863916315484e-06
ABCC10	5043	2.09961526157232e-06
ABCC11	5894	1.7514274548775e-08
ABCC12	7385	1.39782172228138e-08
ABCC13	3842	3.83837042427604e-09
ABCC2	5806	5.00372507148381e-07
ABCC3	5693	2.9504399850181e-06
ABCC4	5855	6.87102788999948e-06
ABCC5	5790	5.28243830029743e-06
ABCC5-AS1	469	3.77322452112628e-07
ABCC6	5753	1.1535127110257e-07
ABCC6P1	2943	5.01087977236443e-09
ABCC6P2	590	2.49949477458789e-08
ABCC8	4921	1.7680839890958e-07
ABCC9	8668	3.0623713089667e-07
ABCD1	3669	3.43253049093446e-06
ABCD1P2	1601	9.21113002502719e-09
ABCD1P3	605	2.43752382976339e-08
ABCD1P4	604	2.44155946524313e-08
ABCD1P5	754	1.95583808621599e-08
ABCD2	6290	3.28232541146199e-08
ABCD3	3604	1.46856414543219e-05
ABCD4	3035	4.09126528540287e-06
ABCE1	3887	3.64369364829787e-05
ABCF1	3381	3.04710665253176e-05
ABCF2	4527	2.82431314787926e-06
ABCF2-H2BK1	2185	6.74920785815493e-09
ABCF2P1	1867	7.89877834497511e-09
ABCF2P2	296	5.48031117806601e-07
ABCF3	2446	1.30408023159682e-05
ABCG1	2976	1.05052690324413e-06
ABCG2	4206	5.82026909707888e-07
ABCG4	3812	1.70217430084736e-07
ABCG5	2760	4.80881059893539e-08
ABCG8	7180	6.57248765239823e-08
ABHD1	1420	2.90786293494309e-07
ABHD10	2604	1.00408851722471e-05
ABHD11	1418	9.61988203971325e-06
ABHD12	1960	2.28353077454888e-05
ABHD12B	1815	1.0562603262308e-07
ABHD13	5313	2.07896054176197e-06
ABHD14A	1066	1.95059071574077e-06
ABHD14A-ACY1	1705	8.64927810561204e-09
ABHD14B	1657	2.40918412150727e-05
ABHD15	3492	3.12508424566172e-06
ABHD15-AS1	187	7.88610650805804e-08
ABHD16A	2069	3.99145999769859e-07
ABHD16B	1491	9.89069025490847e-09
ABHD17A	1706	1.59053430673658e-05
ABHD17AP1	933	9.48361361419198e-08
ABHD17AP3	1137	1.1413699973316e-06
ABHD17AP4	909	1.62233434214175e-06
ABHD17AP5	923	1.08645428338533e-06
ABHD17AP6	1044	7.48651356334897e-07
ABHD17AP7	595	2.47849061681824e-08
ABHD17AP8	574	2.5691671027994e-08
ABHD17AP9	548	2.69106189234827e-08
ABHD17B	3065	5.55238503173217e-06
ABHD17C	2361	2.07370197563014e-06
ABHD2	8424	9.83134611337902e-06
ABHD3	2029	3.65586527478781e-06
ABHD4	3051	4.82383649024202e-06
ABHD5	5298	3.90526007844586e-06
ABHD6	2198	3.61630724871107e-06
ABHD8	2042	3.8275808815555e-06
ABI1	3515	1.46756964599999e-05
ABI1P1	1120	1.31669814018469e-08
ABI2	6567	9.72355611487692e-06
ABI3	1629	1.0465042455862e-05
ABITRAM	1901	3.2271225537867e-06
ABITRAMP1	541	2.7258815471476e-08
ABL1	5578	1.78111631675783e-05
ABL2	12217	2.14632682215756e-05
ABO	1125	1.31084614845054e-08
ABR	2673	6.33354957247986e-06
ABR-AS1	235	6.27532730641214e-08
ABRA	2754	8.03214551746652e-08
ABRACL	782	6.33631514212663e-06
ABRAXAS1	4210	2.24532999715295e-06
ABRAXAS2	2955	9.29236876300088e-06
ABT1	2943	7.70172221012414e-06
ABT1P1	821	3.23320761341332e-07
ABTB1	1962	1.1124153094649e-06
ABTB2	4905	3.24705009249215e-07
ABTB3	5746	6.67285935297219e-08
ACAA1	1699	2.67338546461513e-06
ACAA2	2926	8.00350869517048e-06
ACAA2P1	978	4.52362551229096e-08
ACACA	9962	8.26022555400345e-06
ACACB	9368	4.21883127410159e-07
ACAD10	4006	1.50562427372891e-06
ACAD11	3231	2.37339831892158e-07
ACAD8	2176	3.76130314310112e-06
ACAD9	2445	9.17994403960912e-06
ACAD9-DT	933	6.63852952993439e-07
ACADL	2515	3.22499425190365e-07
ACADM	2261	1.01422444977694e-05
ACADS	1859	3.14930963449016e-06
ACADSB	5848	1.22555597069995e-06
ACADVL	2184	5.12701998893454e-05
ACAN	8960	1.98327657365319e-06
ACAP1	2511	2.02617348214801e-06
ACAP2	7093	5.65929595106817e-06
ACAP2-IT1	690	3.41959864813183e-07
ACAP3	3793	4.60722850422653e-06
ACAT1	1537	1.53322944917173e-05
ACAT2	1520	2.04614890984701e-05
ACBD3	3584	8.85068031105396e-06
ACBD3-AS1	535	1.10258087252849e-07
ACBD4	1827	2.6071632139749e-06
ACBD5	3903	5.33507329442397e-06
ACBD6	1293	2.84789689618415e-05
ACBD7	3370	1.75913997221589e-06
ACCS	2383	6.25031026511507e-07
ACCSL	1820	8.10275778575194e-09
ACD	1511	2.04076883419016e-05
ACE	4962	8.91597289605111e-08
ACE2	3339	8.8331950704214e-09
ACE3P	1973	7.47441417641588e-09
ACER1	1428	1.03270442367427e-08
ACER2	2773	6.22214656652729e-07
ACER2P1	823	1.79186138153931e-08
ACER3	7333	2.63849572495976e-06
ACHE	2172	2.35599247330285e-06
ACIN1	4460	2.01597703766609e-05
ACKR2	2990	1.47963403044166e-08
ACKR3	2015	5.24745049376632e-06
ACKR4	2310	2.1067170242955e-07
ACKR4P1	1053	1.4004766543275e-08
ACLY	4293	9.64859712203319e-05
ACMSD	1252	1.17787693051666e-07
ACNATP	1225	1.20383829959743e-08
ACO1	7443	9.71841045669571e-06
ACO2	2734	2.03081664869451e-05
ACOT1	1686	1.89804457882851e-06
ACOT11	3084	8.941934451371e-07
ACOT12	2086	1.41390404315135e-08
ACOT13	4041	1.45609023728219e-06
ACOT2	1622	3.01850207426803e-05
ACOT4	1465	7.14701952952127e-07
ACOT6	1370	3.22927427081793e-08
ACOT8	1154	5.82724501000975e-06
ACOT9	4318	6.92611275518735e-06
ACOX1	7317	8.25728270326237e-06
ACOX2	2297	1.99023767641325e-07
ACOX3	2872	3.55838589305623e-06
ACOXL-AS1	3026	3.4114056242723e-08
ACP1	1474	3.48766002895922e-05
ACP2	2111	9.06756555317336e-06
ACP3	3174	4.64619381539651e-09
ACP4	1342	8.90095791934092e-07
ACP5	1381	1.38820600442354e-07
ACP6	6956	6.82653848873213e-07
ACP7	2903	5.23232164835363e-07
ACR	1430	5.15630040911487e-08
ACRBP	1905	2.70942609423831e-07
ACRP1	698	8.45101385104214e-08
ACRV1	1936	6.16998219408859e-07
ACSBG1	6215	8.06755674629654e-08
ACSBG2	2734	7.55150945065689e-08
ACSF2	2177	4.05085781520486e-06
ACSF3	4095	4.68159338732334e-06
ACSL1	3712	4.93818556799439e-06
ACSL3	5577	2.04163053634748e-05
ACSL3-AS1	537	9.33703262164488e-07
ACSL4	4891	8.47855610432073e-06
ACSL5	3253	5.30403087272677e-07
ACSL6	6535	2.25662114308623e-09
ACSL6-AS1	923	1.59772688733137e-08
ACSM1	2081	7.08650608845196e-09
ACSM2A	2894	5.09572189705201e-09
ACSM2B	2935	5.02453804772352e-09
ACSM3	2533	2.44522228639115e-07
ACSM4	2349	9.41699819289178e-08
ACSM5	2796	3.69202911983118e-08
ACSM5P1	2438	6.04881836344074e-09
ACSM6	1675	2.64125716478839e-08
ACSS1	3632	4.06030263493076e-09
ACSS2	2885	3.81837896708534e-06
ACSS3	8391	4.85064627689061e-07
ACTA1	1491	2.27485875862895e-07
ACTA2	1349	1.00572703013069e-06
ACTA2-AS1	2450	2.04652510931563e-07
ACTB	1812	0.00326036084750707
ACTBL2	2794	3.1140806407804e-07
ACTBP1	1113	6.62489630281605e-08
ACTBP11	1126	1.30968198668459e-08
ACTBP12	418	3.52799501676281e-08
ACTBP14	1089	2.70835981084821e-08
ACTBP15	1060	5.56491289436548e-08
ACTBP2	1123	4.0708601448987e-07
ACTBP4	1070	2.20516174505698e-07
ACTBP6	1090	1.3529375385384e-08
ACTBP7	1124	7.08486686106495e-07
ACTBP8	1108	1.33095840885095e-08
ACTBP9	1099	4.02557393177485e-08
ACTE1P	1116	2.64283497671479e-08
ACTG1	1919	0.00125427278835951
ACTG1P1	1129	1.17558168760511e-07
ACTG1P10	1082	1.86722885979611e-06
ACTG1P11	1125	1.31084614845054e-08
ACTG1P12	1166	6.32376465268805e-08
ACTG1P13	1043	4.24171212945404e-08
ACTG1P14	1122	2.23439684394978e-07
ACTG1P15	1063	1.38730189746647e-08
ACTG1P16	1082	1.3629407735738e-08
ACTG1P17	1119	1.44966229553846e-07
ACTG1P18	1143	1.29020290201824e-08
ACTG1P19	1116	1.3214174883574e-08
ACTG1P2	1125	3.93253844535161e-08
ACTG1P20	468	1.54402551139606e-06
ACTG1P21	1000	1.47470191700685e-08
ACTG1P22	1099	1.34185797725828e-08
ACTG1P23	1074	1.37309303259484e-08
ACTG1P24	877	6.72612048805862e-08
ACTG1P25	1033	3.56897850195269e-07
ACTG1P3	1114	2.38282176895183e-07
ACTG1P4	1122	1.84009151854688e-07
ACTG1P9	2658	5.54816372086852e-09
ACTG2	1501	7.56509311189392e-07
ACTL10	1583	4.56477535902311e-07
ACTL11P	3959	1.86246769008191e-08
ACTL6A	1854	3.50380903150765e-05
ACTL6B	1524	9.67652176513683e-09
ACTL7A	1491	1.08797592803993e-07
ACTL7B	1399	3.16233434669089e-08
ACTL8	1841	1.20154963362861e-07
ACTN1	3722	0.000218182188242387
ACTN1-DT	599	6.40104337932858e-07
ACTN2	4872	2.05828674787492e-07
ACTN3	2882	3.07016360237374e-08
ACTN4	4990	5.72296645748251e-05
ACTN4P1	1451	3.04900465266751e-08
ACTN4P2	1892	7.79440759517364e-09
ACTP1	383	3.85039665014844e-08
ACTR10	2408	1.45755422029747e-05
ACTR1A	2830	4.37199614264576e-05
ACTR1AP1	1126	2.61936397336919e-08
ACTR1B	2204	2.0507991722441e-05
ACTR2	3783	3.52985087456967e-05
ACTR3	6589	3.54250750377667e-05
ACTR3-AS1	437	1.72104800382951e-06
ACTR3B	2213	3.46518299522622e-07
ACTR3BP1	1247	1.18259977306083e-08
ACTR3BP2	1373	1.07407277276537e-08
ACTR3BP3	979	1.50633495097738e-08
ACTR3BP4	1244	1.185451701774e-08
ACTR3BP5	1479	9.97093926306189e-09
ACTR3BP6	1338	1.10216884679137e-08
ACTR3BP7	1241	1.18831741902244e-08
ACTR3P2	1257	3.51957498092328e-08
ACTR3P3	893	1.65140192274004e-08
ACTR5	2547	6.90162813141802e-06
ACTR6	1737	3.62520275510608e-06
ACTR6P1	1104	1.3357807219265e-08
ACTR8	3579	8.24910097191316e-06
ACTRT1	1442	1.02267816713374e-08
ACTRT1P1	1123	1.31318069190281e-08
ACTRT2	1437	1.02623654628173e-08
ACTRT3	1671	2.64757974327981e-08
ACVR1	3332	4.72240980025904e-06
ACVR1B	4531	4.70628773337433e-06
ACVR1C	8853	1.4991886652052e-08
ACVR2A	5214	2.15803138219453e-06
ACVR2B	11782	1.93130627902018e-06
ACVR2B-AS1	2517	4.10127668615335e-07
ACVRL1	4177	1.27099040010167e-07
ACY1	1422	2.0015293247702e-06
ACY3	1371	3.22691885559486e-08
ACYP1	580	4.95804954855752e-06
ACYP2	1262	1.47236482997515e-06
ADA	1496	3.39102579846496e-06
ADA2	4355	1.69311356717205e-08
ADAD1	1963	2.25374719868597e-08
ADAD1P2	646	2.28282030496417e-08
ADAD2	2018	7.30773992570294e-09
ADAL	4268	1.90384432115927e-06
ADAM10	11158	9.884652838586e-06
ADAM11	4614	2.3459714067686e-06
ADAM12	7941	4.84324719752408e-06
ADAM15	2936	1.97397089027143e-05
ADAM17	4391	1.07235782760257e-05
ADAM18	2388	6.1754686641828e-09
ADAM19	6481	3.50005630109542e-05
ADAM1A	2129	6.92673516677714e-09
ADAM1B	2000	7.37350958503426e-09
ADAM2	2672	5.51909400077415e-09
ADAM20	2784	1.69505967472052e-07
ADAM20P1	2326	6.3400770292642e-09
ADAM20P2	1273	1.15844612490719e-08
ADAM20P3	2106	7.00238327163748e-09
ADAM21	2647	1.05853178780243e-07
ADAM21P1	2170	6.79586136869517e-09
ADAM22	9508	2.96243233222874e-07
ADAM23	6334	1.32476379977408e-06
ADAM24P	2101	7.01904767732914e-09
ADAM28	7019	2.94141997978287e-08
ADAM29	3325	4.43519373535896e-09
ADAM30	2983	1.48310618539073e-08
ADAM32	2601	1.15095920473814e-06
ADAM33	3436	4.29191477592216e-09
ADAM3A	2157	6.836819272169e-09
ADAM3B	840	5.26679256073876e-08
ADAM5	1942	7.59372768798586e-09
ADAM6	999	1.47617809510195e-08
ADAM7	3367	4.37986907337943e-09
ADAM7-AS1	651	2.26528712289839e-08
ADAM7-AS2	902	3.2698490399265e-08
ADAM8	3259	4.02726206239981e-07
ADAM9	1463	0.000108349766957667
ADAMDEC1	2348	6.2806725596544e-09
ADAMTS1	5183	5.88970281343659e-07
ADAMTS10	4251	2.24448868572908e-06
ADAMTS12	825	0.000117815276787784
ADAMTS13	4934	1.73353691095252e-07
ADAMTS14	5557	7.96132040853079e-09
ADAMTS15	6006	1.59599774567841e-06
ADAMTS16	4979	2.2895050850498e-06
ADAMTS16-DT	1684	2.62714118231625e-08
ADAMTS17	6329	2.63298019626757e-07
ADAMTS18	5833	2.52820489800592e-09
ADAMTS19	5201	5.10375591350189e-08
ADAMTS19-AS1	3103	2.37625188044933e-08
ADAMTS2	6783	5.45702758615244e-07
ADAMTS20	6358	8.58193943523963e-08
ADAMTS4	9777	1.05583649576025e-08
ADAMTS5	9621	1.13426818270977e-07
ADAMTS6	7309	9.00881660888712e-06
ADAMTS7	5520	2.64484582941446e-07
ADAMTS7P1	4793	3.07678263510714e-09
ADAMTS7P3	3716	7.54018741203719e-08
ADAMTS7P4	3611	4.08391558295999e-09
ADAMTS8	3628	7.3166026753372e-07
ADAMTS9	7624	2.20508943518863e-07
ADAMTS9-AS1	4008	7.3587920010322e-09
ADAMTS9-AS2	2261	3.26117186423453e-08
ADAMTSL1	7771	1.93375531261097e-06
ADAMTSL2	3875	1.67450024124649e-07
ADAMTSL3	7299	1.42035271633897e-06
ADAMTSL4	4212	1.4004766543275e-06
ADAMTSL4-AS1	1914	2.23439684394978e-07
ADAMTSL4-AS2	665	2.66111624121537e-07
ADAMTSL5	2683	1.52252117409951e-06
ADAP1	2349	3.45289933739365e-06
ADAP2	2669	6.40934516196309e-07
ADAR	6610	3.53883839751327e-05
ADARB1	6902	1.48282111040678e-06
ADARB2	8475	1.74006125900514e-09
ADARB2-AS1	637	2.31507365307198e-08
ADAT1	5757	6.37833554515731e-06
ADAT2	6244	8.80947813971102e-07
ADAT3	1599	2.96969366651787e-06
ADCK1	3268	7.80671455453444e-07
ADCK2	2574	4.58337814143544e-06
ADCK5	1960	6.77159043523555e-06
ADCY1	12657	9.04138964681455e-07
ADCY10	5342	3.31269618196972e-08
ADCY10P1	3848	1.11139177737003e-07
ADCY2	6645	1.24278867347455e-07
ADCY3	4950	1.38860315861999e-05
ADCY4	3415	3.02281505682225e-08
ADCY5	6643	3.68508984228718e-07
ADCY6	6092	3.84168079824339e-06
ADCY6-DT	439	2.01553792757201e-07
ADCY7	6271	1.19556443088229e-05
ADCY8	4421	1.4676969995092e-07
ADCY9	7980	2.86624395147573e-06
ADCYAP1	3259	1.35750406597747e-08
ADCYAP1R1	6639	3.88722451387557e-07
ADD1	4140	1.95023985401269e-05
ADD2	9290	9.68318804493197e-08
ADD3	4413	1.86267584078772e-05
ADD3-AS1	1407	1.04811792253508e-08
ADGB-DT	2190	6.73379870779385e-09
ADGRA1	4264	3.45849417684534e-09
ADGRA1-AS1	3295	4.47557486193279e-09
ADGRA2	6944	1.39739899393795e-06
ADGRA3	4577	9.32442068564089e-06
ADGRA3P1	1450	8.1362864386585e-08
ADGRB2	5708	9.15358950938206e-06
ADGRB3	6090	7.26454146308795e-08
ADGRB3-DT	4345	1.01820615673661e-08
ADGRD1	5390	1.4774379131423e-06
ADGRD1-AS1	1277	5.01190784636628e-06
ADGRD2	3515	4.19545353344766e-09
ADGRE1	3112	1.82916111813832e-06
ADGRE2	6791	9.98914566077385e-08
ADGRE3	2349	6.27799879526119e-09
ADGRE4P	1810	8.14752440335278e-09
ADGRE5	3190	1.2306133238471e-05
ADGRF1	5432	2.714841526154e-09
ADGRF2	2013	2.19776738749158e-08
ADGRF3	4481	4.17958365230686e-07
ADGRF4	3128	1.41435605851041e-08
ADGRF5	5761	1.04951880918731e-07
ADGRF5-AS1	781	1.88822268502798e-08
ADGRF5P1	1135	5.19718737271138e-08
ADGRF5P2	1659	8.88910136833546e-09
ADGRG1	4257	6.90411303874714e-06
ADGRG2	4684	1.13341735722132e-07
ADGRG3	2609	5.65236457265946e-09
ADGRG4	9933	4.45394719724208e-09
ADGRG5	3335	2.21094740180937e-08
ADGRG6	6822	2.28922505146622e-06
ADGRG7	3128	1.41435605851041e-08
ADGRL1	7853	7.8852328403308e-06
ADGRL1-AS1	2894	4.68806414528785e-07
ADGRL2	7432	8.62359328755622e-06
ADGRL3	13738	3.87514479574519e-07
ADGRL3-AS1	606	2.43350151321263e-08
ADGRL4	3539	5.25042219674664e-07
ADGRV1	19557	7.29923534111895e-07
ADH1A	1454	1.0142379071574e-08
ADH1C	1454	3.04271372147219e-08
ADH4	2002	7.36614344159267e-09
ADH5	2652	3.37424254615293e-05
ADH5P2	1124	1.31201238167869e-08
ADH5P3	1137	1.29701136060409e-08
ADH5P4	1110	1.32856028559176e-08
ADH5P5	352	8.37898816481166e-08
ADH6	2802	3.6841232758915e-08
ADH7	2119	6.95942386506302e-09
ADHFE1	1972	2.99128177891857e-08
ADI1	1902	4.34967284669214e-06
ADI1P1	538	2.74108163012426e-08
ADI1P2	429	1.03126008182297e-07
ADI1P3	470	3.13766365320607e-08
ADIG	674	2.18798504006951e-08
ADIPOQ	4542	3.2468117943788e-09
ADIPOQ-AS1	3443	4.28318883824238e-09
ADIPOR1	2091	3.07917196061785e-05
ADIPOR1P1	1074	1.37309303259484e-08
ADIPOR1P2	1154	1.27790460745828e-08
ADIPOR2	3971	2.80642719386069e-05
ADIRF	627	2.35199667784187e-08
ADIRF-AS1	2627	5.90554403003886e-06
ADK	1992	1.44434911650621e-05
ADM	1492	4.26991439776783e-06
ADM-DT	803	8.08055844935262e-07
ADM2	4213	3.28683859499035e-06
ADM5	788	2.73231573455584e-06
ADNP	6672	2.05202826701014e-05
ADNP-AS1	927	1.14539954718979e-06
ADNP2	5157	2.9937278202724e-05
ADORA2A	2529	2.33246645631768e-08
ADORA2A-AS1	2557	2.30692517326062e-07
ADORA2B	1522	8.69124585778677e-06
ADORA2BP1	842	1.7514274548775e-08
ADORA3	1757	2.51798847525359e-08
ADPGK	2608	1.52446179764205e-05
ADPGK-AS1	2730	3.40315827001581e-07
ADPRH	3623	3.45983060848972e-07
ADPRHL1	9722	1.73985095536604e-06
ADPRM	1534	2.21109153136621e-06
ADPRS	1651	2.03564244025355e-05
ADRA1A	3770	5.86751425864796e-08
ADRA1B	2507	4.39410583168775e-06
ADRA1D	2942	6.51635789296026e-08
ADRA2A	3879	1.14052739134327e-08
ADRA2B	3696	9.97498591049008e-08
ADRA2C	2142	6.68503996925142e-06
ADRB1	3039	1.45577681836807e-08
ADRB2	2013	4.10249912331762e-06
ADRB3	2585	5.70484300582922e-08
ADRM1	1379	0.000151544603813663
ADSL	4359	4.07665934845895e-06
ADSS2	2555	9.30418587168316e-06
ADTRP	1692	3.13766365320607e-07
AEBP1	4097	2.37960809698128e-05
AEBP2	5830	5.79509792772333e-06
AEN	3072	5.47108650655179e-05
AFAP1	7704	1.6251582652373e-06
AFAP1-AS1	6808	1.40798508527388e-07
AFAP1L1	6024	8.32579883755031e-06
AFAP1L2	3722	2.2584097063243e-07
AFDN	7806	1.13502550824714e-05
AFDN-DT	4095	2.16073540953385e-08
AFF1	9261	6.67047438758418e-06
AFF2	13748	1.49100644794845e-07
AFF2-IT1	443	3.32889823252111e-08
AFF3	10070	5.18415569632995e-07
AFF4	9536	1.95487698541145e-05
AFF4-DT	395	7.46684514940179e-07
AFG1L	5048	2.24944626801758e-07
AFG3L2	3160	3.16687569899003e-05
AFG3L2P1	1763	4.18236505106878e-08
AFM	1997	7.38458646473136e-09
AFMID	1686	7.61841856294762e-06
AFP	2426	6.01795093914586e-07
AFTPH	4098	9.64421946700431e-06
AFTPH-DT	1924	2.6826698074449e-07
AGA	2037	5.16181868839414e-06
AGA-DT	546	1.35045963095866e-07
AGAP1	10889	4.13469092903106e-06
AGAP1-IT1	696	5.29706148350163e-07
AGAP10P	2418	6.0988499462649e-09
AGAP11	1740	8.4752983736026e-09
AGAP12P	2359	6.25138582877004e-09
AGAP13P	2061	4.00695329220688e-07
AGAP14P	2060	9.30637132091703e-08
AGAP2	5430	1.86035140543222e-06
AGAP2-AS1	1500	6.88194227936531e-07
AGAP4	2535	4.3048497774559e-07
AGAP5	2719	1.35592305719644e-07
AGAP6	2684	1.31866043249495e-07
AGAP7P	2062	9.58341691944318e-07
AGAP9	2387	1.65571895164573e-06
AGBL1	12330	2.03324676310758e-08
AGBL1-AS1	900	8.19278842781585e-08
AGBL2	3295	1.70071844753446e-07
AGBL3	3533	2.12878001039766e-07
AGBL4	2989	4.93376352294029e-08
AGBL4-AS1	566	2.60548041874002e-08
AGBL4-IT1	514	2.86906987744524e-08
AGBL5	3188	1.48626639251663e-05
AGBL5-AS1	407	6.88435784352094e-07
AGBL5-IT1	339	6.52522972126926e-07
AGER	1538	2.10945657829329e-07
AGFG1	8677	6.99365954648289e-06
AGFG2	4819	2.57055324815471e-06
AGGF1	4490	2.20055742626858e-06
AGGF1P1	2073	1.20935516590046e-07
AGGF1P10	2191	4.30766420303234e-07
AGGF1P2	2106	2.10071498149124e-07
AGGF1P3	1213	1.21574766447391e-08
AGGF1P4	801	1.84107605119457e-08
AGGF1P5	919	1.60468108488232e-08
AGGF1P6	976	1.51096507890046e-08
AGGF1P7	913	1.61522663418056e-08
AGGF1P8	1000	1.47470191700685e-08
AGGF1P9	913	1.61522663418056e-08
AGK	3001	3.53810523240564e-06
AGK-DT	1449	1.01773769289638e-08
AGKP1	1263	1.16761830325167e-08
AGKP2	1262	1.16854351585329e-08
AGL	7091	3.33372891406288e-06
AGMAT	3095	1.14354914404409e-07
AGMO	2476	2.97799256261481e-08
AGO1	13712	9.68042003717815e-06
AGO2	14595	2.38963345921289e-05
AGO3	19660	1.83400111245257e-06
AGO4	7272	7.7263673044501e-07
AGPAT1	2496	4.49027827293753e-07
AGPAT3	6565	1.12315454455967e-08
AGPAT4	7923	1.38107891255722e-06
AGPAT5	5237	5.93034607068251e-06
AGPAT5P1	1019	1.44720502159652e-08
AGPS	7633	1.65708349825334e-05
AGR2	1697	1.73801050914184e-08
AGR3	738	1.99824107995509e-08
AGRN	7326	7.38699648490315e-05
AGRP	498	1.77674929759862e-07
AGT	2116	4.18157443385686e-07
AGTPBP1	4464	4.33424936181226e-06
AGTR1	2324	6.34553320570935e-09
AGTR2	2862	5.15269712441248e-09
AGTRAP	1130	1.73440605991337e-05
AGXT	2900	5.08517902416156e-09
AGXT2	2219	3.98747701759401e-08
AHCTF1	8887	1.0573647592177e-05
AHCTF1P1	6821	1.10262128379049e-07
AHCY	2150	0.000111741250837017
AHCYL1	3943	2.53762427260753e-05
AHCYL2	5049	1.26177704128929e-06
AHCYP2	1300	1.2478246990058e-07
AHCYP3	1279	1.15301166302334e-08
AHCYP4	1315	1.12144632472004e-08
AHCYP5	1238	1.19119702504592e-08
AHCYP7	1308	1.127447948782e-08
AHCYP8	209	3.03407571441601e-06
AHDC1	6428	1.49351423144285e-06
AHI1	6063	3.68249827205736e-06
AHI1-DT	1338	1.21238573147051e-07
AHNAK	18761	7.5737942438762e-05
AHNAK2	18335	4.34729417039653e-06
AHR	6243	1.18108434807533e-08
AHRR	5661	1.06805826880906e-07
AHSA1	1337	7.48822087850376e-05
AHSA2P	1003	2.14368434197008e-05
AHSG	1574	9.36913543206387e-09
AHSP	488	3.02193015780093e-08
AICDA	2803	5.26115560830130e-09
AIDA	2975	6.59278504073652e-06
AIDAP1	917	3.21636186915344e-07
AIDAP2	919	3.20936216976464e-08
AIDAP3	997	4.43741800503567e-08
AIF1	607	2.42949244976417e-08
AIF1L	3374	3.26934509164531e-06
AIFM1	2222	6.4310808171901e-06
AIFM1P1	1841	2.40309926725723e-08
AIFM2	3134	1.00932852966806e-05
AIFM3	2334	1.89550374936613e-08
AIG1	2136	6.49669711565285e-06
AIG1P1	148	1.19570425703258e-06
AIM2	1394	5.28946168223405e-08
AIMP1	2773	1.35770428926019e-05
AIMP1P1	937	1.5738547673499e-08
AIMP1P2	312	3.78128696668424e-07
AIMP2	1198	4.85125229960268e-05
AIP	1236	2.991163192505e-05
AIPL1	2894	5.09572189705201e-09
AIRE	2690	5.48216326024852e-09
AIRN	4374	4.72012502014082e-08
AJAP1	12102	9.74848399938425e-09
AJM1	4642	6.2901977502662e-07
AJUBA-DT	802	6.06797546898082e-07
AK1	2192	1.46662873132981e-06
AK2	5970	1.95861164153222e-05
AK2P2	405	3.64123930125149e-08
